model,item_group,n_items,precision,recall,hit_rate,ndcg,map,n_users_with_relevant
Random,head,116,0.0033293697978596906,0.005758908116045976,0.03210463733650416,0.004142726992663019,0.001325944170771757,841
Random,medium,241,0.002918781725888325,0.006908404416989069,0.027918781725888325,0.005120422146086375,0.0024212410217894264,788
Random,long_tail,1325,0.0023222060957910017,0.004693645332252009,0.023222060957910014,0.0032904395589457274,0.0012662896153462192,689
GlobalMean,head,116,0.0,0.0,0.0,0.0,0.0,841
GlobalMean,medium,241,0.0,0.0,0.0,0.0,0.0,788
GlobalMean,long_tail,1325,0.0018867924528301891,0.0021214116759664444,0.01741654571843251,0.0022690462187834578,0.0007559168644074304,689
UserMean,head,116,0.0,0.0,0.0,0.0,0.0,841
UserMean,medium,241,0.0,0.0,0.0,0.0,0.0,788
UserMean,long_tail,1325,0.0018867924528301891,0.0021214116759664444,0.01741654571843251,0.0022690462187834578,0.0007559168644074304,689
ItemMean,head,116,0.0,0.0,0.0,0.0,0.0,841
ItemMean,medium,241,0.0,0.0,0.0,0.0,0.0,788
ItemMean,long_tail,1325,0.00043541364296081285,0.0017081612146924194,0.0043541364296081275,0.0007367264560290744,0.000287050475729721,689
BiasBaseline,head,116,0.0558858501783591,0.09634678136231646,0.380499405469679,0.07407830422289494,0.030901918899413378,841
BiasBaseline,medium,241,0.020431472081218274,0.03319722157433925,0.1649746192893401,0.02626392292318438,0.0105181949048655,788
BiasBaseline,long_tail,1325,0.00043541364296081285,0.0006738544474393531,0.0043541364296081275,0.00038579563613562267,7.832838021517267e-05,689
Popularity,head,116,0.12829964328180737,0.2747248860820718,0.6837098692033293,0.2183954739609848,0.12071136698833318,841
Popularity,medium,241,0.0,0.0,0.0,0.0,0.0,788
Popularity,long_tail,1325,0.0,0.0,0.0,0.0,0.0,689
PopularityPositive,head,116,0.12948870392390013,0.2575301809519607,0.6599286563614745,0.2164945617061346,0.1210215958383177,841
PopularityPositive,medium,241,0.0,0.0,0.0,0.0,0.0,788
PopularityPositive,long_tail,1325,0.0,0.0,0.0,0.0,0.0,689
UBCF,head,116,0.18668252080856124,0.4339454101175828,0.8287752675386445,0.35075184330761855,0.22449372050753624,841
UBCF,medium,241,0.015736040609137057,0.06384873273197164,0.1281725888324873,0.031999050266551934,0.01578517377057986,788
UBCF,long_tail,1325,0.0,0.0,0.0,0.0,0.0,689
UBCF-rating,head,116,0.00011890606420927467,0.00013211784912141628,0.0011890606420927466,8.078882392186773e-05,1.3211784912141631e-05,841
UBCF-rating,medium,241,0.0,0.0,0.0,0.0,0.0,788
UBCF-rating,long_tail,1325,0.0001451378809869376,0.001451378809869376,0.001451378809869376,0.000725689404934688,0.0004837929366231253,689
IBCF,head,116,0.18799048751486327,0.42774677639780917,0.8252080856123662,0.35146020789729665,0.22906848640279648,841
IBCF,medium,241,0.01383248730964467,0.05895597634176314,0.1116751269035533,0.031904839062848626,0.017548394569333655,788
IBCF,long_tail,1325,0.0001451378809869376,0.001451378809869376,0.001451378809869376,0.0004369085568417724,0.00016126431220770844,689
IBCF-rating,head,116,0.0016646848989298453,0.002019515693713078,0.015457788347205707,0.001574096491419805,0.0004078011395688764,841
IBCF-rating,medium,241,0.0002538071065989848,0.00010844485463774803,0.0025380710659898475,0.00024770177765312323,6.76818950930626e-05,788
IBCF-rating,long_tail,1325,0.0010159651669085633,0.003392132782553682,0.010159651669085631,0.0020036618713152876,0.000915981293339784,689
RegressionCF,head,116,0.15624256837098693,0.3221994437760627,0.7253269916765755,0.2830933588224137,0.1756204472144255,841
RegressionCF,medium,241,0.026395939086294423,0.0841336490987408,0.22715736040609136,0.0466930859822284,0.022487845803389975,788
RegressionCF,long_tail,1325,0.0030478955007256893,0.013020941322828116,0.02902757619738752,0.007308260634112818,0.0035357200451540073,689
RegressionCF-rating,head,116,0.07098692033293698,0.11437189573208173,0.4423305588585018,0.11046770908533614,0.05565433817645612,841
RegressionCF-rating,medium,241,0.025126903553299492,0.04421107263806731,0.19543147208121828,0.037571627020041,0.018398281478412007,788
RegressionCF-rating,long_tail,1325,0.0010159651669085633,0.0034487162571342545,0.010159651669085631,0.0018171911322294072,0.0008002453521321445,689
SLIM,head,116,0.19036860879904877,0.4234021799719701,0.812128418549346,0.3600803476418002,0.2365463506713294,841
SLIM,medium,241,0.0399746192893401,0.13622530156383544,0.3210659898477157,0.08264889965180475,0.04501523426159334,788
SLIM,long_tail,1325,0.0027576197387518143,0.01271857073743866,0.027576197387518143,0.00648728925516675,0.0033803303614624368,689
GraphRec,head,116,0.1883472057074911,0.4244090996170932,0.8252080856123662,0.3533527956719296,0.22832164981639813,841
GraphRec,medium,241,0.00799492385786802,0.04349166062364032,0.06725888324873096,0.020509090987380515,0.010625151075658689,788
GraphRec,long_tail,1325,0.0002902757619738752,0.0019351717464925011,0.002902757619738752,0.0006419404477849204,0.00021501908294361123,689
