model,user_group,n_users,mean_history,mean_heldout_positives,median_heldout_positives,rmse,mae,n_test_ratings,precision,recall,hit_rate,ndcg,map,novelty,ild,tail_frac,catalog_coverage,n_users_with_relevant
Random,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.1216297193765898,0.9473495697075466,1696,0.0013071895424836603,0.0041938997821350755,0.013071895424836602,0.0025751986146019317,0.0011891793754538853,5.7483658763551935,0.7671143048092491,0.7819314641744548,0.8478002378121284,306
Random,medium,312,50.67628205128205,8.195512820512821,8.0,1.1023749772610865,0.9302824336066531,4314,0.005128205128205128,0.007458697348403231,0.05128205128205128,0.006445541487624558,0.0022084117657034325,5.774203482203961,0.7673209696783554,0.800320512820513,0.8436385255648038,312
Random,heavy,310,156.09354838709677,23.54193548387097,22.0,1.1257683954920734,0.9427720565658689,13623,0.015161290322580645,0.0058914863496762485,0.14516129032258066,0.014654017539574318,0.0042320788530465945,5.957981702156548,0.7613096421915273,0.8293548387096775,0.8228299643281808,310
GlobalMean,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.1216297193765898,0.9473495697075466,1696,0.0,0.0,0.0,0.0,0.0,6.662610943582843,0.7835469161209146,1.0,0.01605231866825208,306
GlobalMean,medium,312,50.67628205128205,8.195512820512821,8.0,1.1023749772610865,0.9302824336066531,4314,0.000641025641025641,0.0005248163142899984,0.00641025641025641,0.0006827277537135548,0.00020477207977207977,6.669876172777884,0.7823780494560874,1.0,0.03507728894173603,312
GlobalMean,heavy,310,156.09354838709677,23.54193548387097,22.0,1.1257683954920734,0.9427720565658689,13623,0.0035483870967741938,0.0012368231948402726,0.03225806451612903,0.0037938942378625985,0.0012491039426523298,6.613804380440756,0.7739014453615565,0.9987096774193549,0.10047562425683709,310
UserMean,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.0594409160115885,0.8449672484454119,1696,0.0,0.0,0.0,0.0,0.0,6.662610943582843,0.7835469161209146,1.0,0.01605231866825208,306
UserMean,medium,312,50.67628205128205,8.195512820512821,8.0,1.035047492908468,0.8319181760925909,4314,0.000641025641025641,0.0005248163142899984,0.00641025641025641,0.0006827277537135548,0.00020477207977207977,6.669876172777884,0.7823780494560874,1.0,0.03507728894173603,312
UserMean,heavy,310,156.09354838709677,23.54193548387097,22.0,1.0407915255885534,0.833080615012348,13623,0.0035483870967741938,0.0012368231948402726,0.03225806451612903,0.0037938942378625985,0.0012491039426523298,6.613804380440756,0.7739014453615565,0.9987096774193549,0.10047562425683709,310
ItemMean,sparse,321,20.470404984423677,3.2091503267973858,3.0,1.0626076641279218,0.8565825468526697,1696,0.00032679738562091506,0.0004668534080298786,0.0032679738562091504,0.000319976880228653,7.780890133831309e-05,8.703717683200956,0.7028605076753082,1.0,0.007134363852556481,306
ItemMean,medium,312,50.67628205128205,8.195512820512821,8.0,1.0198922564760866,0.8128733814840357,4314,0.0,0.0,0.0,0.0,0.0,8.70023750036229,0.7044575740342803,1.0,0.007134363852556481,312
ItemMean,heavy,310,156.09354838709677,23.54193548387097,22.0,1.0191530275773233,0.8109916258267804,13623,0.0006451612903225806,0.00027767930993737445,0.0064516129032258064,0.0004883785196645485,0.0001003584229390681,8.70237187182245,0.6987470815652159,1.0,0.007134363852556481,310
BiasBaseline,sparse,321,20.470404984423677,3.2091503267973858,3.0,0.9876190687407553,0.7905531052570298,1696,0.009150326797385621,0.026906318082788667,0.08169934640522876,0.015177128821046883,0.006065203859321506,2.5655819675432063,0.7435648448579727,0.0,0.009512485136741973,306
