i,n,rmse,title,train_popularity,group,model,rating_variance,extreme_share,n_ratings_total
9,17,1.4310232007534998,Richard III (1995),68,medium,IBCF,1.0280898876404494,0.39325842696629215,89
501,13,1.4192824815155272,Bananas (1971),42,long_tail,IBCF,1.0701754385964912,0.3508771929824561,57
570,11,1.4125981763373157,Another Stakeout (1993),16,long_tail,IBCF,1.0,0.5,28
411,23,1.4074373135917826,"Very Brady Sequel, A (1996)",57,long_tail,IBCF,1.2856474988312296,0.6236559139784946,93
211,21,1.3971796933390956,"Unbearable Lightness of Being, The (1988)",65,long_tail,IBCF,1.5475394171046353,0.44565217391304346,92
339,33,1.3470512604941796,Boogie Nights (1997),140,medium,IBCF,1.3819655521783183,0.41798941798941797,189
716,13,1.345694607582331,"Juror, The (1996)",60,long_tail,IBCF,1.3118036735922909,0.36585365853658536,82
875,10,1.3322160994900836,Money Talks (1997),30,long_tail,IBCF,0.9093432007400554,0.46808510638297873,47
546,10,1.3311501881054655,"Young Poisoner's Handbook, The (1995)",29,long_tail,IBCF,1.530487804878049,0.3902439024390244,41
218,17,1.327888902386312,"Nightmare on Elm Street, A (1984)",80,medium,IBCF,1.724979524979525,0.5135135135135135,111
353,12,1.318175845785419,"Wedding Singer, The (1998)",55,long_tail,IBCF,0.9575508607198746,0.2916666666666667,72
91,16,1.30192171168093,True Romance (1993),80,medium,IBCF,0.9768483943241221,0.25,104
771,11,1.2969147389396163,Kids (1995),31,long_tail,IBCF,1.558673469387755,0.32653061224489793,49
275,48,1.292201221815172,Leaving Las Vegas (1995),214,head,IBCF,1.3697602422434645,0.4429530201342282,298
880,12,1.2820626319801895,Money Talks (1997),28,long_tail,IBCF,1.6545454545454545,0.5333333333333333,45
1024,11,1.2784030077514186,Fire Down Below (1997),30,long_tail,IBCF,1.6929175475687102,0.5909090909090909,44
52,28,1.2744564592523202,Natural Born Killers (1994),90,medium,IBCF,1.7615649606299202,0.4921875,128
346,21,1.2738636150593554,Wag the Dog (1997),100,medium,IBCF,1.1487762988407038,0.31386861313868614,137
100,12,1.2736276979068912,Heavy Metal (1981),55,long_tail,IBCF,1.417427701674277,0.4657534246575342,73
16,21,1.2730839028609302,From Dusk Till Dawn (1996),60,long_tail,IBCF,1.3811514572384134,0.41304347826086957,92
