model,users_evaluated,users_with_a_hit,hit_rate,mean_first_hit_rank,median_first_hit_rank
Random,928,65,0.07004310344827586,5.461538461538462,6.0
GlobalMean,928,12,0.01293103448275862,5.166666666666667,4.5
UserMean,928,12,0.01293103448275862,5.166666666666667,4.5
ItemMean,928,3,0.003232758620689655,6.666666666666667,6.0
BiasBaseline,928,363,0.3911637931034483,4.7162534435261705,5.0
Popularity,928,575,0.6196120689655172,3.7182608695652175,3.0
PopularityPositive,928,555,0.5980603448275862,3.466666666666667,2.0
UBCF,928,728,0.7844827586206896,3.0576923076923075,2.0
UBCF-rating,928,2,0.0021551724137931034,6.5,6.5
IBCF,928,722,0.7780172413793104,3.0041551246537397,2.0
IBCF-rating,928,21,0.022629310344827586,5.619047619047619,5.0
RegressionCF,928,662,0.7133620689655172,3.0574018126888216,2.0
RegressionCF-rating,928,418,0.4504310344827586,3.576555023923445,2.0
SLIM,928,758,0.8168103448275862,2.7691292875989446,2.0
GraphRec,928,721,0.7769396551724138,2.9819694868238558,2.0
