model,stratum,level,n,rmse,mae,bias
Random,true_rating,1,1163,2.530951976776123,2.530951976776123,2.530951976776123
Random,true_rating,2,2283,1.530951976776123,1.530951976776123,1.530951976776123
Random,true_rating,3,5350,0.530951976776123,0.530951976776123,0.530951976776123
Random,true_rating,4,6736,0.46904802322387695,0.46904802322387695,-0.46904802322387695
Random,true_rating,5,4101,1.4690480232238767,1.469048023223877,-1.469048023223877
Random,item_group,head,6381,1.063680523356706,0.9091108868701614,-0.27738527443842015
Random,item_group,medium,6589,1.0775398909919842,0.9077196265229471,-0.040454913495541846
Random,item_group,long_tail,6663,1.2109938008220755,1.0027503867809897,0.31993591794376525
Random,user_group,sparse,1696,1.1216297193765898,0.9473495697075466,-0.06397726850689582
Random,user_group,medium,4314,1.1023749772610865,0.9302824336066531,-0.08935400375238878
Random,user_group,heavy,13623,1.1257683954920734,0.9427720565658689,0.043247359584608694
Random,overall,all,19633,1.1203114295044765,0.9404231149289427,0.004847968219101705
GlobalMean,true_rating,1,1163,2.530951976776123,2.530951976776123,2.530951976776123
GlobalMean,true_rating,2,2283,1.530951976776123,1.530951976776123,1.530951976776123
GlobalMean,true_rating,3,5350,0.530951976776123,0.530951976776123,0.530951976776123
GlobalMean,true_rating,4,6736,0.46904802322387695,0.46904802322387695,-0.46904802322387695
GlobalMean,true_rating,5,4101,1.4690480232238767,1.469048023223877,-1.469048023223877
GlobalMean,item_group,head,6381,1.063680523356706,0.9091108868701614,-0.27738527443842015
GlobalMean,item_group,medium,6589,1.0775398909919842,0.9077196265229471,-0.040454913495541846
GlobalMean,item_group,long_tail,6663,1.2109938008220755,1.0027503867809897,0.31993591794376525
GlobalMean,user_group,sparse,1696,1.1216297193765898,0.9473495697075466,-0.06397726850689582
GlobalMean,user_group,medium,4314,1.1023749772610865,0.9302824336066531,-0.08935400375238878
GlobalMean,user_group,heavy,13623,1.1257683954920734,0.9427720565658689,0.043247359584608694
GlobalMean,overall,all,19633,1.1203114295044765,0.9404231149289427,0.004847968219101705
UserMean,true_rating,1,1163,2.17067637350253,2.0588747425932157,2.0588747425932157
UserMean,true_rating,2,2283,1.4191343557948672,1.350899666325857,1.3397227803500555
UserMean,true_rating,3,5350,0.6061368268348984,0.5114208941370527,0.4607239844643067
UserMean,true_rating,4,6736,0.5542002437448447,0.4456046151789237,-0.40060351767760843
UserMean,true_rating,5,4101,1.3222720479526127,1.2569487802984074,-1.2569487802984074
UserMean,item_group,head,6381,1.0261915030671414,0.8351556237561074,-0.24174015771593538
UserMean,item_group,medium,6589,1.0061912944956752,0.805557802516279,-0.02199962325840804
UserMean,item_group,long_tail,6663,1.0883184349009605,0.8605835640661247,0.26297748326790077
UserMean,user_group,sparse,1696,1.0594409160115885,0.8449672484454119,-0.01731610227868242
UserMean,user_group,medium,4314,1.035047492908468,0.8319181760925909,-0.0027061653291952517
UserMean,user_group,heavy,13623,1.0407915255885534,0.833080615012348,0.0077634892221817775
UserMean,overall,all,19633,1.0411582598708151,0.8338520187103383,0.003296465490703848
ItemMean,true_rating,1,1163,2.16077996630107,2.063498479789019,2.063498479789019
ItemMean,true_rating,2,2283,1.3398895097923145,1.235046750612547,1.2293954367079967
ItemMean,true_rating,3,5350,0.6482934092507138,0.5485872000400152,0.4203542202209758
ItemMean,true_rating,4,6736,0.5815354756256812,0.4422242238303545,-0.3711638063050789
ItemMean,true_rating,5,4101,1.258666612568557,1.1885916435610984,-1.1885916435610984
ItemMean,item_group,head,6381,0.9727662570179471,0.7687500605219267,0.007665885651191935
ItemMean,item_group,medium,6589,1.0052407988878862,0.808582938880764,0.010425550511762973
ItemMean,item_group,long_tail,6663,1.0858241941402074,0.8666503925178926,-0.005512547800710175
ItemMean,user_group,sparse,1696,1.0626076641279218,0.8565825468526697,-0.07210895784620969
ItemMean,user_group,medium,4314,1.0198922564760866,0.8128733814840357,-0.03765795534277161
ItemMean,user_group,heavy,13623,1.0191530275773233,0.8109916258267804,0.026839394738458373
ItemMean,overall,all,19633,1.0231415780939983,0.8153434872827631,0.004119587565126576
BiasBaseline,true_rating,1,1163,1.951563134390084,1.8260819288747432,1.8260819288747432
BiasBaseline,true_rating,2,2283,1.2570871862909803,1.153354467188534,1.1404756209435716
BiasBaseline,true_rating,3,5350,0.6101394165181995,0.496854958601087,0.3837649207917329
BiasBaseline,true_rating,4,6736,0.5559294467400915,0.4385929098109451,-0.3336629681023736
BiasBaseline,true_rating,5,4101,1.145099754765117,1.0548783628221432,-1.0548783628221432
BiasBaseline,item_group,head,6381,0.9220771650332459,0.7256749873437061,-0.019761858530467514
BiasBaseline,item_group,medium,6589,0.9317003420698666,0.7402848925100579,-0.0025173361266323316
BiasBaseline,item_group,long_tail,6663,0.9756976354128681,0.7785028239261204,0.05247766472780541
BiasBaseline,user_group,sparse,1696,0.9876190687407553,0.7905531052570298,0.006684285078970891
BiasBaseline,user_group,medium,4314,0.9510819217420875,0.7565671212981573,0.007988176884118417
