model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,method,alpha,max_path_len,beta,normalize,fit_time_s,iterations,mass_min,mass_max,final_delta
Graph-RWR[a=0.05],val,10,1.0514961884824394,0.8442103577799963,9596,13.964730084000621,0.022489916998893023,0.039467416994739324,13163652,0.029726516052318668,50,943,880,0.9989395546129375,0.07215909090909091,0.0,0.09192603327766802,0.14215196309373299,0.0,0.21814186802915347,0.4943181818181818,0.0,0.5002520308025347,0.11959947744475476,0.0,0.16537010656646065,0.060522160737190495,0.0,0.1164847326488408,1.6785687970869834,1.6571511647090404,0.19479835943315008,0.6949752100903857,0.7022405155103483,0.05624814389620113,0.008318219410629562,0.0070196311719214755,0.021429871802259467,0.9989395546129375,1.0,0.03256448045129181,0.0,0.0,0.0,0.0010604453870625664,0.0,0.03256448045129181,rwr,0.05,-1,,degree,13.964730084000621,200,0.9999999999999988,1.000000000000001,3.505266626278301e-05
Graph-RWR[a=0.1],val,10,1.0503826216105006,0.8428456771601288,9596,13.005919583956711,0.033146707981359214,0.045948458020575345,13163652,0.03388822829964328,57,943,880,0.9989395546129375,0.07625,0.1,0.09233185067171655,0.1565772979204921,0.0625,0.22925889708345404,0.5215909090909091,1.0,0.49981768317385444,0.1297171751391682,0.07336392209936006,0.1712929749825161,0.06655439206406469,0.014087301587301586,0.12272290344337727,1.6841337955178752,1.6568512839246057,0.19648405165999305,0.703033828741638,0.7060223392880453,0.05990505325438735,0.008656224549468421,0.007138607971445568,0.021462042413524365,0.9972428419936374,1.0,0.035584763032333995,0.0016967126193001062,0.0,0.014471777197491773,0.0010604453870625664,0.0,0.03256448045129181,rwr,0.1,-1,,degree,13.005919583956711,197,0.9999999999999989,1.0000000000000013,9.677819771511696e-10
Graph-RWR[a=0.15],val,10,1.0496907477004291,0.8419209365145827,9596,13.255964917014353,0.02327062498079613,0.04349724994972348,13163652,0.043400713436385255,73,943,880,0.9989395546129375,0.08090909090909092,0.1,0.09359020839409418,0.16883980649901006,0.08012820512820512,0.23497164419476,0.5488636363636363,1.0,0.49788958898258856,0.14079696513508544,0.08514311764162101,0.1830056112615895,0.0744908838956458,0.02,0.13932085072268796,1.7007848074258671,1.676580566049425,0.19696163897289573,0.7039927405074947,0.7059671546769914,0.05874903246943036,0.00959927024198468,0.007733491969066033,0.021574014354706118,0.9896076352067869,1.0,0.047642454004753164,0.009331919406150585,0.0,0.03505953549182024,0.0010604453870625664,0.0,0.03256448045129181,rwr,0.15,-1,,degree,13.255964917014353,128,0.9999999999999988,1.0000000000000013,9.239005871930408e-10
Graph-RWR[a=0.25],val,10,1.049186204066815,0.840952406760596,9596,6.2127042500069365,0.02068354102084413,0.04610029101604596,13163652,0.0558858501783591,94,943,880,0.9989395546129375,0.08670454545454545,0.1,0.09830441437711487,0.18403580279703205,0.09090909090909091,0.24887570456967,0.5659090909090909,1.0,0.49591880772315206,0.1520155941455836,0.09546043308946735,0.18841328875160238,0.0811946858394031,0.023809523809523808,0.1424015648635332,1.7348385344993993,1.714725999086178,0.20507117377945272,0.709599062647756,0.7127935867471233,0.05611990008203591,0.011531728513364073,0.008744794765020821,0.0221287918611564,0.975185577942736,1.0,0.07197061298619989,0.023647932131495228,0.0,0.06420054759530318,0.001166489925768823,0.0,0.03272345784437559,rwr,0.25,-1,,degree,6.2127042500069365,73,0.9999999999999992,1.0000000000000009,7.576607051301496e-10
Graph-RWR[a=0.4],val,10,1.0502888695732635,0.8410161963014218,9596,4.016220916993916,0.029812291963025928,0.04489466699305922,13163652,0.06658739595719382,112,943,880,0.9989395546129375,0.09261363636363637,0.1,0.10097358059245283,0.1985466543396785,0.1111111111111111,0.256797252260481,0.5897727272727272,1.0,0.492154551954585,0.16249833488154716,0.1100458831490401,0.19370890216472558,0.08754533143223618,0.028571428571428574,0.14716264801317128,1.776650512224618,1.7478965675053133,0.22676138215960975,0.7118462228284846,0.7144775506860634,0.0569781654833006,0.013901171031988105,0.01005353955978584,0.02351294017555588,0.9602332979851538,1.0,0.098171978926425,0.03817603393425239,0.0,0.09126187081187725,0.0015906680805938497,0.0,0.033665237160572785,rwr,0.4,-1,,degree,4.016220916993916,41,0.9999999999999993,1.0000000000000004,8.020527097700798e-10
Graph-RWR[a=0.6],val,10,1.0557555912031225,0.8463927391052817,9596,1.2069980000378564,0.0164823749801144,0.03501199994934723,13163652,0.07312722948870393,123,943,880,0.9989395546129375,0.09625,0.1,0.10427508578446897,0.20830247215219097,0.1111111111111111,0.2649532099819373,0.6011363636363637,1.0,0.48994307165803985,0.1707236157206672,0.11838279295536293,0.20071194483669572,0.0935768088695916,0.03333333333333333,0.15592563754531422,1.8138265751678755,1.775336666833902,0.2422109503486283,0.7109966604080198,0.7165776178428921,0.05903430633229642,0.015970458931240116,0.011124330755502678,0.024437381092412582,0.9477200424178155,1.0,0.1157115808732796,0.05047720042417816,0.0,0.10931792616350297,0.0018027571580063629,0.0,0.03396850222092681,rwr,0.6,-1,,degree,1.2069980000378564,23,0.9999999999999996,1.0000000000000004,7.036887476346209e-10
Graph-RWR[a=0.8],val,10,1.0658805861745593,0.8648247583526311,9596,0.622278583003208,0.016437416954431683,0.03182595898397267,13163652,0.07907253269916766,133,943,880,0.9989395546129375,0.09806818181818182,0.1,0.1055173931663721,0.21204686637452638,0.125,0.2671868455240319,0.6079545454545454,1.0,0.4884843618432795,0.1742895841304433,0.12987501165334078,0.2023644205780625,0.09600015210208661,0.03333333333333333,0.15763315632955532,1.8365536953871182,1.7955234928948294,0.25245619583504547,0.710294421536499,0.7164277506519288,0.06084710203842478,0.017284881303925165,0.01207614515169542,0.025160547213587712,0.9402969247083776,1.0,0.12647732885590227,0.05758218451749735,0.0,0.11972760742415078,0.002120890774125133,0.0,0.03441593682417978,rwr,0.8,-1,,degree,0.622278583003208,13,0.9999999999999996,1.0000000000000004,8.192003355452611e-10
Graph-RWR[a=0.95],val,10,1.0705731400656913,0.8735772757603545,9596,0.3452042920398526,0.0156278750509955,0.03479845798574388,13163652,0.07966706302021404,134,943,880,0.9989395546129375,0.09863636363636363,0.1,0.10601030085160616,0.21179724383797205,0.125,0.2657504561136918,0.6090909090909091,1.0,0.4882315522464279,0.17485164616571144,0.13000084749202068,0.20257714744552774,0.09630992339065256,0.03428571428571429,0.15771781467289922,1.8402263126684042,1.8010825476733245,0.2536804197721951,0.7101964969633517,0.7164277506519288,0.06120960468402064,0.017476657269223806,0.012314098750743605,0.025206553447379706,0.9394485683987275,1.0,0.12674477947752363,0.0584305408271474,0.0,0.12002510883995338,0.002120890774125133,0.0,0.03441593682417978,rwr,0.95,-1,,degree,0.3452042920398526,7,0.9999999999999996,1.0000000000000004,7.812500409231739e-10
"Graph-Path[L=1,b=0.2,degree]",val,10,1.1256351047971345,0.9450239227092159,9596,0.046080959029495716,0.013454583997372538,0.013022958009969443,13163652,0.11117717003567182,187,943,880,0.0,0.0009090909090909091,0.0,0.010627241235756634,0.0011619193529287112,0.0,0.0185535615075203,0.007954545454545454,0.0,0.08888334048598688,0.0010984261258022126,0.0,0.01296237685187226,0.0003599837662337663,0.0,0.004654904800417558,6.648970134393878,6.663518371278935,0.23858074598175463,0.7799893526693483,0.792105174739578,0.047096781516903406,0.629467638752119,0.6346817370612732,0.030496361881310854,0.0,0.0,0.0,0.00042417815482502654,0.0,0.006502516966387975,0.999575821845175,1.0,0.006502516966387974,path,,1,0.2,degree,0.046080959029495716,1,,,
"Graph-Path[L=3,b=0.2,degree]",val,10,1.0652178733761088,0.8636326949617705,9596,0.0814112089574337,0.0212868339731358,0.03161137498682365,13163652,0.07966706302021404,134,943,880,0.9989395546129375,0.09863636363636363,0.1,0.10601030085160616,0.21179724383797205,0.125,0.2657504561136918,0.6090909090909091,1.0,0.4882315522464279,0.174954525703182,0.13000084749202068,0.20265732317324928,0.09639809679132595,0.03428571428571429,0.15776591191051287,1.8402544216491785,1.8010825476733245,0.253657496095347,0.7103905828533743,0.7165235023233395,0.061242177562244815,0.017482019426148278,0.012314098750743605,0.025205077342937813,0.9393425238600212,1.0,0.12673589723673573,0.05853658536585366,0.0,0.12001760525405485,0.002120890774125133,0.0,0.03441593682417978,path,,3,0.2,degree,0.0814112089574337,3,,,
"Graph-Path[L=5,b=0.2,degree]",val,10,1.065038436785901,0.8632349391161924,9596,0.13043479103362188,0.017746833036653697,0.03120774996932596,13163652,0.07907253269916766,133,943,880,0.9989395546129375,0.09806818181818182,0.1,0.1055173931663721,0.21204686637452638,0.125,0.2671868455240319,0.6079545454545454,1.0,0.4884843618432795,0.1742895841304433,0.12987501165334078,0.2023644205780625,0.09600015210208661,0.03333333333333333,0.15763315632955532,1.8366237656583382,1.7955234928948294,0.25245396456017377,0.7103577290086951,0.7165235023233395,0.06087068921873651,0.017287278503491398,0.01207614515169542,0.025160388345212913,0.9402969247083776,1.0,0.12647732885590227,0.05758218451749735,0.0,0.11972760742415078,0.002120890774125133,0.0,0.03441593682417978,path,,5,0.2,degree,0.13043479103362188,5,,,
"Graph-Path[L=7,b=0.2,degree]",val,10,1.0650291636596385,0.8632153991519156,9596,0.15319616702618077,0.01776133297244087,0.03361275000497699,13163652,0.07907253269916766,133,943,880,0.9989395546129375,0.09806818181818182,0.1,0.1055173931663721,0.21204686637452638,0.125,0.2671868455240319,0.6079545454545454,1.0,0.4884843618432795,0.1742895841304433,0.12987501165334078,0.2023644205780625,0.09600015210208661,0.03333333333333333,0.15763315632955532,1.8365734777012637,1.7955234928948294,0.25244989815414304,0.7103572293859399,0.7165173884708134,0.060835054186072914,0.01728525980911983,0.01207614515169542,0.025160593295257803,0.9402969247083776,1.0,0.12647732885590227,0.05758218451749735,0.0,0.11972760742415078,0.002120890774125133,0.0,0.03441593682417978,path,,7,0.2,degree,0.15319616702618077,7,,,
"Graph-Path[L=9,b=0.2,degree]",val,10,1.0650287327247294,0.8632145237800771,9596,0.1957496249815449,0.017484917014371604,0.02861774998018518,13163652,0.07907253269916766,133,943,880,0.9989395546129375,0.09806818181818182,0.1,0.1055173931663721,0.21204686637452638,0.125,0.2671868455240319,0.6079545454545454,1.0,0.4884843618432795,0.1742895841304433,0.12987501165334078,0.2023644205780625,0.09600015210208661,0.03333333333333333,0.15763315632955532,1.8365536953871182,1.7955234928948294,0.25245619583504547,0.710294421536499,0.7164277506519288,0.06084710203842478,0.017284881303925165,0.01207614515169542,0.025160547213587712,0.9402969247083776,1.0,0.12647732885590227,0.05758218451749735,0.0,0.11972760742415078,0.002120890774125133,0.0,0.03441593682417978,path,,9,0.2,degree,0.1957496249815449,9,,,
"Graph-Path[L=1,b=0.4,degree]",val,10,1.1256351047971345,0.9450239227092159,9596,0.03558125003473833,0.01276345900259912,0.013892584014683962,13163652,0.11117717003567182,187,943,880,0.0,0.0009090909090909091,0.0,0.010627241235756634,0.0011619193529287112,0.0,0.0185535615075203,0.007954545454545454,0.0,0.08888334048598688,0.0010984261258022126,0.0,0.01296237685187226,0.0003599837662337663,0.0,0.004654904800417558,6.648970134393878,6.663518371278935,0.23858074598175463,0.7799893526693483,0.792105174739578,0.047096781516903406,0.629467638752119,0.6346817370612732,0.030496361881310854,0.0,0.0,0.0,0.00042417815482502654,0.0,0.006502516966387975,0.999575821845175,1.0,0.006502516966387974,path,,1,0.4,degree,0.03558125003473833,1,,,
"Graph-Path[L=3,b=0.4,degree]",val,10,1.0531580888117869,0.843419128869961,9596,0.08266083401395008,0.020283708989154547,0.0314795000012964,13163652,0.07966706302021404,134,943,880,0.9989395546129375,0.09863636363636363,0.1,0.10601030085160616,0.21179724383797205,0.125,0.2657504561136918,0.6090909090909091,1.0,0.4882315522464279,0.174954525703182,0.13000084749202068,0.20265732317324928,0.09639809679132595,0.03428571428571429,0.15776591191051287,1.8402544216491785,1.8010825476733245,0.253657496095347,0.7103905828533743,0.7165235023233395,0.061242177562244815,0.017482019426148278,0.012314098750743605,0.025205077342937813,0.9393425238600212,1.0,0.12673589723673573,0.05853658536585366,0.0,0.12001760525405485,0.002120890774125133,0.0,0.03441593682417978,path,,3,0.4,degree,0.08266083401395008,3,,,
"Graph-Path[L=5,b=0.4,degree]",val,10,1.052635823473536,0.8428098481051572,9596,0.1159438340109773,0.017844416957814246,0.02979875000892207,13163652,0.07372175980975029,124,943,880,0.9989395546129375,0.09647727272727273,0.1,0.10493553763942534,0.20866908470630352,0.1111111111111111,0.26543848843732926,0.6011363636363637,1.0,0.48994307165803985,0.17144597689192057,0.11838279295536293,0.20183163307048374,0.0942425799233835,0.03333333333333333,0.15678080020599433,1.8209271926003419,1.7807101158897332,0.2468441447027507,0.7109450678302262,0.7165784122361709,0.05951526807209259,0.01639589877004737,0.011362284354550863,0.024757190483109672,0.9452810180275716,1.0,0.11987476006242555,0.05259809119830329,0.0,0.11282483029816212,0.002120890774125133,0.0,0.03441593682417978,path,,5,0.4,degree,0.1159438340109773,5,,,
