model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,rank_mode,family,similarity,mean_center,center_by,min_support,beta,fit_time_s
"IBCF[cosine,mc-item,k=5]",val,5,0.9647890805707474,0.7540135413811387,9596,0.11129845801042393,1.185442082991358,0.02127858396852389,22653992,0.1539833531510107,259,943,880,0.8048780487804879,0.006477272727272728,0.0,0.02597538752470579,0.009657455425837777,0.0,0.053290048683447055,0.06136363636363636,0.0,0.2401326037643157,0.008537397512879519,0.0,0.0391188188221126,0.0031759083894500563,0.0,0.019109383697920302,7.420744702819604,8.133457739728874,1.5367743520618096,0.6953513009153452,0.7211983001784765,0.09988177378182728,0.7324260353536469,0.8339678762641285,0.2075577971916736,0.06659597030752917,0.0,0.11845508104670968,0.07401908801696712,0.0,0.11525595837523243,0.8593849416755038,1.0,0.1979578416648744,rating,ibcf,cosine,True,item,3,25.0,0.11129845801042393
"IBCF[cosine,mc-item,k=5]",val,5,0.9647890805707474,0.7540135413811387,9596,0.11129845801042393,0.006514667009469122,0.016101666959002614,22653992,0.5903686087990487,993,943,880,1.0,0.04136363636363636,0.0,0.0707055587405877,0.08396347310512162,0.0,0.18355229022315706,0.3170454545454545,0.0,0.4655899143586195,0.0711320679381433,0.0,0.14155472416482917,0.036526546645594266,0.0,0.10266717098508814,3.160325139663581,3.0095156615279834,0.9389320834703151,0.6929883557492357,0.7115619320086597,0.11017507509913721,0.14231561907994217,0.11392028554431888,0.12597935634747123,0.3669141039236479,0.3,0.28409299941531774,0.42990455991516435,0.4,0.22336143486349794,0.20318133616118772,0.1,0.2513877744729764,score,ibcf,cosine,True,item,3,25.0,0.11129845801042393
"IBCF[cosine,mc-item,k=5]",val,5,0.9647890805707474,0.7540135413811387,9596,0.11129845801042393,0.0062785419868305326,0.016809957975056022,22653992,0.24494649227110582,412,943,880,0.9989395546129375,0.07170454545454547,0.0,0.09614552857093514,0.14823161110013955,0.0,0.23685205874910947,0.475,0.0,0.49965858650850015,0.12485120892455473,0.0,0.17844671861239578,0.06695754616029913,0.0,0.13059758473553823,2.3641254557240057,2.2852598493071428,0.407803648593079,0.7036422253054293,0.7218990002394481,0.09234618669209406,0.05126379730289815,0.04033313503866746,0.03953549193456108,0.7397667020148463,0.8,0.26421125794782646,0.2415694591728526,0.2,0.2405109502661002,0.01866383881230117,0.0,0.06243056811654075,affinity,ibcf,cosine,True,item,3,25.0,0.11129845801042393
"IBCF[cosine,mc-item,k=10]",val,10,0.9357508878382187,0.7335546092126608,9596,0.0008773329900577664,1.2841179170063697,0.01740020897705108,22653992,0.10047562425683709,169,943,880,0.76033934252386,0.005,0.0,0.02519548147365753,0.0052483246638530285,0.0,0.040845068340245115,0.042045454545454546,0.0,0.200807012843362,0.005531224801810202,0.0,0.0305175461996609,0.0019152365491651203,0.0,0.013968208634101077,7.9770797238432305,8.533457739728874,1.2219116718421996,0.6902275587135975,0.7083682941964848,0.09010142101371726,0.8083695699487062,0.8846519928613921,0.1643406227923496,0.035843054082714744,0.0,0.09346198730001516,0.03552492046659597,0.0,0.08190872635208692,0.9286320254506893,1.0,0.15436650666126348,rating,ibcf,cosine,True,item,3,25.0,0.0008773329900577664
"IBCF[cosine,mc-item,k=10]",val,10,0.9357508878382187,0.7335546092126608,9596,0.0008773329900577664,0.00645079102832824,0.016344000003300607,22653992,0.7223543400713437,1215,943,880,1.0,0.04818181818181819,0.0,0.08092954638399454,0.08996775490789084,0.0,0.18166307932438666,0.3431818181818182,0.0,0.4750415716304445,0.08088047443204531,0.0,0.14660191341831882,0.04155976001511716,0.0,0.10282566117775564,3.4089928239580947,3.0385932416128734,1.3433512382084862,0.691687600899018,0.7141341993182461,0.1136623291928324,0.17926365599429214,0.11493158834027364,0.18603985887356977,0.3601272534464475,0.3,0.304148221927889,0.37910922587486745,0.4,0.24559484473376775,0.2607635206786851,0.1,0.3320275649562493,score,ibcf,cosine,True,item,3,25.0,0.0008773329900577664
"IBCF[cosine,mc-item,k=10]",val,10,0.9357508878382187,0.7335546092126608,9596,0.0008773329900577664,0.006344709021504968,0.01545583299594,22653992,0.21819262782401902,367,943,880,0.9989395546129375,0.08136363636363636,0.1,0.10002481851499403,0.17046023845137492,0.0625,0.2495490869564384,0.5170454545454546,1.0,0.49999353600124075,0.1476811660374948,0.06943122193677728,0.19759190641151933,0.08225119391190819,0.0125,0.14995517947015305,2.2642512301090716,2.20387688654546,0.36206052983820397,0.7108812865175285,0.7222964248323829,0.08406742270862277,0.04261470126792932,0.034027364663890544,0.03450007732162598,0.8008483563096501,0.9,0.2226536572289888,0.18928950159066807,0.1,0.20735372396693838,0.009862142099681868,0.0,0.048307688618844984,affinity,ibcf,cosine,True,item,3,25.0,0.0008773329900577664
"IBCF[cosine,mc-item,k=20]",val,20,0.9271926464278942,0.7294493628573249,9596,0.0009807080496102571,1.3485715829883702,0.01767066604224965,22653992,0.089179548156956,150,943,880,0.7539766702014846,0.0025,0.0,0.01701568573007326,0.0024486205905425275,0.0,0.022315937210469143,0.022727272727272728,0.0,0.14911744363790624,0.002378921814850066,0.0,0.016693501866304906,0.0006430826118326118,0.0,0.00495421998630505,8.169317239014878,8.565650549217612,1.0413828510205003,0.6934068699595688,0.7211983001784765,0.08895752377140947,0.8345167087963976,0.8904223676383106,0.13954432410551593,0.021845174973488868,0.0,0.07278206274689034,0.023647932131495228,0.0,0.06913670811661005,0.9545068928950159,1.0,0.12735403661627215,rating,ibcf,cosine,True,item,3,25.0,0.0009807080496102571
"IBCF[cosine,mc-item,k=20]",val,20,0.9271926464278942,0.7294493628573249,9596,0.0009807080496102571,0.005486082984134555,0.015802583016920835,22653992,0.7449464922711059,1253,943,880,1.0,0.04897727272727273,0.0,0.08206021503324311,0.09258158264544931,0.0,0.18907988736323078,0.34204545454545454,0.0,0.4746645042139319,0.0823326437995651,0.0,0.1469341645376941,0.04183509199134199,0.0,0.09691392356734607,3.675783838514087,3.047154660091216,1.7320355832401373,0.6897958510648126,0.7130563935847085,0.12124363318972367,0.22097208965778714,0.11505056513979775,0.2399961636036773,0.37285259809119825,0.3,0.3429375821574264,0.3079533404029693,0.3,0.25256717999535166,0.31919406150583246,0.1,0.39114751357315736,score,ibcf,cosine,True,item,3,25.0,0.0009807080496102571
"IBCF[cosine,mc-item,k=20]",val,20,0.9271926464278942,0.7294493628573249,9596,0.0009807080496102571,0.005838166980538517,0.015690542000811547,22653992,0.17063020214030916,287,943,880,0.9989395546129375,0.08931818181818181,0.1,0.10493830957187696,0.18976983568295377,0.1,0.26401681557731527,0.5647727272727273,1.0,0.4960686795837834,0.15818156211032885,0.09109240322345807,0.18987860134320386,0.08567847444112324,0.020833333333333332,0.13476646980820725,2.15166790927968,2.117689622514112,0.327384818524792,0.7213480144926916,0.7300187266065936,0.07019158855353096,0.03336744085698623,0.027067221891731115,0.029875597629603793,0.8694591728525982,1.0,0.1856886653619469,0.12757158006362673,0.0,0.17846698838452493,0.002969247083775186,0.0,0.03645207580267871,affinity,ibcf,cosine,True,item,3,25.0,0.0009807080496102571
"IBCF[cosine,mc-item,k=30]",val,30,0.928692257522535,0.7313739736207802,9596,0.0008329580305144191,1.3502100839978084,0.017767666024155915,22653992,0.08323424494649227,140,943,880,0.7529162248144221,0.002840909090909091,0.0,0.019166290067212582,0.0026642285305822854,0.0,0.022848766653647067,0.023863636363636365,0.0,0.15271104733338894,0.0026404265403398865,0.0,0.018215279639597598,0.000740981240981241,0.0,0.005759056930001347,8.197643934442949,8.59195398980099,1.0201842246749895,0.6931625565930882,0.7121261159459462,0.08590092266934515,0.8385881630070473,0.891017251635931,0.13661876287205793,0.02099681866383881,0.0,0.07432829420184082,0.021527041357370096,0.0,0.06671708067636051,0.9574761399787912,1.0,0.12696353026836266,rating,ibcf,cosine,True,item,3,25.0,0.0008329580305144191
