rank,item,train_count,cum_share,group
1,49,421,0.005948764324370152,head
2,180,370,0.01117689449068121,head
3,257,368,0.01637676449393113,head
4,99,364,0.021520114171058768,head
5,293,352,0.02649390286981956,head
6,285,345,0.03136878099786636,head
7,287,340,0.036173008718260305,head
8,0,325,0.040765285215695696,head
9,299,307,0.04510322024558082,head
10,120,304,0.04939876503087423,head
11,173,288,0.05346822851167851,head
12,55,287,0.057523561910952224,head
13,6,286,0.06156476522869537,head
14,126,281,0.06553531813878566,head
15,97,275,0.06942109055969253,head
16,116,273,0.07327860281753826,head
17,236,271,0.07710785491232285,head
18,221,264,0.08083819643639344,head
19,78,256,0.08445549730821947,head
20,171,254,0.08804453801698436,head
21,203,254,0.09163357872574925,head
22,312,252,0.09519435927145299,head
23,172,247,0.09868448940950389,head
24,150,242,0.10210396913990194,head
25,404,236,0.10543866838111655,head
26,209,232,0.1087168472962089,head
27,268,232,0.11199502621130124,head
28,747,230,0.11524494496333244,head
29,317,227,0.11845247347077192,head
30,327,225,0.12163174181515027,head
31,422,221,0.12475448983340634,head
32,68,218,0.1278348476070707,head
33,117,218,0.13091520538073503,head
34,167,218,0.1339955631543994,head
35,256,218,0.13707592092806375,head
36,215,217,0.14014214862019753,head
37,194,214,0.14316598606773961,head
38,275,214,0.14618982351528167,head
39,233,211,0.14917127071823205,head
40,301,211,0.1521527179211824,head
41,8,210,0.1551200350426022,head
42,24,206,0.1580308318378997,head
43,182,206,0.16094162863319722,head
44,201,203,0.16381003518390302,head
45,14,202,0.16666431165307824,head
46,95,202,0.16951858812225346,head
47,21,201,0.1723587345098981,head
48,88,201,0.1751988808975428,head
49,110,195,0.17795424679600402,head
50,63,193,0.1806813525314041,head
51,175,192,0.18339432818527363,head
52,190,191,0.18609317375761258,head
53,11,189,0.1887637591668904,head
54,27,188,0.19142021449463764,head
55,274,188,0.19407666982238486,head
56,134,186,0.196704864987071,head
57,267,186,0.19933306015175709,head
58,10,183,0.20191886507185147,head
59,288,183,0.20450466999194586,head
60,244,182,0.20707634483050968,head
61,96,181,0.20963388958754292,head
62,227,181,0.21219143434457616,head
63,185,180,0.21473484902007883,head
64,741,180,0.21727826369558154,head
65,69,179,0.21980754828955362,head
66,81,179,0.22233683288352574,head
67,474,179,0.22486611747749785,head
68,143,178,0.22738127198993938,head
69,545,177,0.22988229642085034,head
70,131,174,0.2323409306071696,head
71,181,174,0.23479956479348885,head
72,322,174,0.23725819897980813,head
73,124,172,0.23968857300306623,head
74,152,172,0.24211894702632433,head
75,195,171,0.24453519096805187,head
76,281,171,0.24695143490977942,head
77,237,168,0.24932528860691527,head
78,434,168,0.2516991423040511,head
79,300,167,0.2540588659196564,head
80,495,167,0.25641858953526164,head
81,184,166,0.2587641830693363,head
82,193,166,0.261109776603411,head
83,196,166,0.2634553701374857,head
84,264,164,0.26577270350849924,head
85,356,163,0.2680759067979822,head
86,482,163,0.2703791100874652,head
87,160,162,0.2726681832954176,head
88,332,162,0.27495725650337005,head
89,384,161,0.27723219962979184,head
90,654,161,0.2795071427562137,head
91,87,159,0.2817538257195744,head
92,7,158,0.2839863786014045,head
93,272,157,0.28620480140170407,head
94,133,156,0.28840909412047305,head
95,178,156,0.29061338683924204,head
96,270,156,0.292817679558011,head
97,567,156,0.29502197227678006,head
98,677,156,0.29722626499554905,head
99,94,155,0.2994164276327874,head
100,70,153,0.3015783301069647,head
101,507,152,0.3037261024996114,head
102,470,151,0.3058597448107276,head
103,283,150,0.30797925704031315,head
104,426,150,0.3100987692698987,head
105,214,149,0.31220415141795366,head
106,321,149,0.31430953356600866,head
107,207,148,0.3164007856325331,head
108,249,146,0.31846377753599636,head
109,186,145,0.3205126393579291,head
110,229,145,0.3225615011798618,head
111,602,145,0.3246103630017945,head
112,142,144,0.32664509474219666,head
113,273,144,0.3286798264825988,head
114,297,144,0.33071455822300094,head
115,3,143,0.3327351598818725,head
116,179,143,0.3347557615407441,head
117,199,143,0.3367763631996157,medium
118,402,143,0.33879696485848726,medium
119,526,143,0.3408175665173588,medium
120,210,142,0.3428240380946998,medium
121,339,140,0.34480224950897964,medium
122,234,138,0.34675220076019836,medium
123,514,138,0.34870215201141713,medium
124,596,138,0.35065210326263585,medium
125,174,135,0.35255966426926283,medium
126,123,134,0.35445309519435925,medium
127,12,133,0.35633239603792516,medium
128,306,133,0.358211696881491,medium
129,473,133,0.36009099772505687,medium
130,587,132,0.36195616848709217,medium
131,271,131,0.3638072091675969,medium
132,366,131,0.36565824984810164,medium
133,208,130,0.36749516044707575,medium
134,282,130,0.3693320710460499,medium
135,392,130,0.3711689816450241,medium
136,478,130,0.37300589224399827,medium
137,513,130,0.3748428028429724,medium
138,22,129,0.376665583360416,medium
139,23,128,0.378474233796329,medium
140,136,128,0.38028288423224205,medium
141,187,128,0.38209153466815504,medium
142,590,128,0.38390018510406804,medium
143,13,127,0.38569470545845047,medium
144,325,127,0.38748922581283296,medium
145,57,126,0.38926961608568483,medium
