Model,RMSE,MAE,P@10,R@10,HR@10,NDCG@10,MAP@10,Coverage,UserCov,Novelty,Diversity,LongTail,Head,TrainS,PredictS,ModelMB,SparsityPct
Random,1.1203114293608811,0.9404231183786108,0.0072198275862068,0.0058586289595202,0.0700431034482758,0.0079113848679688,0.0025483381511129,0.9946492271105828,1.0,5.825823181788103,0.7652744681471785,0.8036055143160127,0.0563096500530222,0.0060533340001711,0.0010672500002328,12.689008,
GlobalMean,1.1203114293608811,0.9404231183786108,0.0014008620689655,0.0005896097849773,0.0129310344827586,0.0014968946906207,0.0004861111111111,0.1111771700356718,0.0,6.648970134393878,0.7799893526693483,0.999575821845175,0.0,6.954199989195331e-05,0.0017942920003406,8e-06,
UserMean,1.0411582606632497,0.8338520184678408,0.0014008620689655,0.0005896097849773,0.0129310344827586,0.0014968946906207,0.0004861111111111,0.1111771700356718,0.0,6.648970134393878,0.7799893526693483,0.999575821845175,0.0,0.0001633330002732,0.0021927910001977,0.007544,
ItemMean,1.023141577839777,0.8153434867242045,0.0003232758620689,0.0002467001389415,0.0032327586206896,0.0002686533043598,5.918171866447729e-05,0.0071343638525564,0.0,8.702123814088548,0.7020366716306323,1.0,0.0,0.0005833750001329,0.0020040829999743,0.013456,
BiasBaseline,0.9437945814220744,0.7485067772719683,0.0683189655172413,0.0490441718627088,0.3911637931034483,0.0703536484036369,0.0279942566406351,0.0184304399524375,1.0,2.6427982519540145,0.7340373876240507,0.0037115588547189,0.5933191940615058,0.0196609170002375,0.0027962499998466,0.021,
Popularity,1.023141577839777,0.8153434867242045,0.1162715517241379,0.1243557911368814,0.6196120689655172,0.1534973297490409,0.0742998484415317,0.0237812128418549,1.0,1.565014305991333,0.76187375109653,0.0,1.0,0.0003707079999912,0.0019600000000536,0.013456,
PopularityPositive,1.023141577839777,0.8153434867242045,0.1173491379310344,0.1129379059443441,0.5980603448275862,0.1536446552215945,0.0759339170394371,0.0231866825208085,1.0,1.6662693217555264,0.6891631872463613,0.0,1.0,0.0010159159996874,0.0019258749998698,0.013456,
UBCF,1.0150561516815186,0.8066938566408612,0.1825431034482759,0.2224919129026524,0.7844827586206896,0.2569637339644862,0.1435958707597023,0.0802615933412604,1.0,2.020288511807743,0.6996123226876502,0.0,0.9194061505832448,0.0505150419999154,1.1696959999999308,7.121536,91.50743099787687
UBCF-rating,0.946788149752151,0.7396481286052006,0.0002155172413793,0.0001953865100416,0.0021551724137931,0.0002166583563104,6.208949096880131e-05,0.1605231866825208,1.0,8.396594911563051,0.7290703251364532,0.9996818663838812,0.0003181336161187,0.133539749999727,0.9418033749998358,7.121536,
IBCF,0.9402175956605314,0.73803390626175,0.1822198275862069,0.2180645002186249,0.7780172413793104,0.259267014509181,0.1496311278043305,0.1129607609988109,0.9989395546129376,2.0234467876342324,0.7231243320599123,0.0013785790031813,0.9366914103923648,0.0880061249999926,1.439668666000216,22.653992,92.86139202855443
IBCF-rating,0.9286790972660172,0.7260347890304387,0.002478448275862,0.0016981413380253,0.0226293103448275,0.0023216441973858,0.0006499726327312,0.1771700356718192,0.8525980911983033,8.102763496741918,0.7032706290382923,0.9692470837751856,0.0131495227995758,0.0779622499999277,1.417641666999771,22.653992,
RegressionCF,0.9407811242103048,0.7458096720874325,0.1662715517241379,0.1788172689460187,0.7133620689655172,0.2289736995921417,0.1275302667263425,0.2193816884661117,0.9989395546129376,2.408497723837805,0.6929488109167184,0.0428419936373276,0.7465535524920467,0.116717417000018,0.0296378749999348,1.742444,97.62046400951814
RegressionCF-rating,0.919115895408422,0.7245837483404532,0.0864224137931034,0.0604686806478759,0.4504310344827586,0.1039290980071825,0.0491919661183438,0.0850178359096314,1.0,2.637293497264029,0.7372475104059156,0.0199363732767762,0.5969247083775184,0.106802708000032,0.03458558300008,1.742444,
SLIM,1.0331168197746226,0.832681768324915,0.2085129310344827,0.2449703763487404,0.8168103448275862,0.2949581315431235,0.1729064112374675,0.2063020214030915,0.9989395546129376,2.282741867945627,0.7067266069828245,0.0167550371155885,0.7617179215270414,22.004483707999952,0.0622696669997822,2.063388,93.93840793197526
GraphRec,1.0724670329532704,0.8698466623688735,0.1776939655172414,0.2131355050438399,0.7769396551724138,0.2545763826111706,0.1432441494318033,0.079667063020214,0.9989395546129376,1.8402544216491783,0.7103905828533743,0.0021208907741251,0.9393425238600212,0.1198722910003198,0.0230248749999191,13.163652,
