model,mean_train_popularity,median_train_popularity,mean_pop_rank,head_pct,medium_pct,long_tail_pct,catalog_coverage,n_distinct_items,novelty_bits,ild,gini_exposure,ndcg_mean,rmse,recall_mean,map_mean
Random,38.37274655355249,17.0,0.5151908013144223,5.630965005302227,14.0084835630965,80.36055143160127,0.9946492271105827,1673,5.825823181788103,0.7652744681471785,0.2354379160293696,0.0079113848679688,1.1203114293608811,0.0058586289595202,0.0025483381511129
GlobalMean,13.741039236479322,11.0,0.6294676387521189,0.0,0.04241781548250265,99.9575821845175,0.11117717003567182,187,6.648970134393878,0.7799893526693483,0.9898067366653089,0.0014968946906207,1.1203114293608811,0.0005896097849773,0.0004861111111111
UserMean,13.741039236479322,11.0,0.6294676387521189,0.0,0.04241781548250265,99.9575821845175,0.11117717003567182,187,6.648970134393878,0.7799893526693483,0.9898067366653089,0.0014968946906207,1.0411582606632497,0.0005896097849773,0.0004861111111111
ItemMean,1.3328738069989396,1.0,0.902684989682579,0.0,0.0,100.0,0.007134363852556481,12,8.702123814088548,0.7020366716306323,0.9929494882499876,0.0002686533043598,1.023141577839777,0.0002467001389415,5.918171866447729e-05
BiasBaseline,167.6441145281018,150.0,0.07642852591782778,59.33191940615058,40.29692470837752,0.3711558854718982,0.018430439952437573,31,2.6427982519540145,0.7340373876240507,0.9924684419774974,0.0703536484036369,0.9437945814220744,0.0490441718627088,0.0279942566406351
Popularity,321.0539766702015,307.0,0.004845244996949879,100.0,0.0,0.0,0.023781212841854936,40,1.565014305991333,0.76187375109653,0.9900063424973804,0.1534973297490409,1.023141577839777,0.1243557911368814,0.0742998484415317
PopularityPositive,301.33297985153763,287.0,0.007321110559474837,100.0,0.0,0.0,0.02318668252080856,39,1.6662693217555264,0.6891631872463613,0.9902707603305159,0.1536446552215945,1.023141577839777,0.1129379059443441,0.0759339170394371
UBCF,244.384835630965,232.0,0.024939770360898394,91.9406150583245,8.059384941675503,0.0,0.0802615933412604,135,2.020288511807743,0.6996123226876502,0.9704073951249774,0.2569637339644862,1.0150561516815186,0.2224919129026524,0.1435958707597023
UBCF-rating,2.3112407211028634,1.0,0.8687235480067601,0.03181336161187699,0.0,99.96818663838812,0.1605231866825208,270,8.396594911563051,0.7290703251364532,0.9612424233635914,0.0002166583563104,0.946788149752151,0.0001953865100416,6.208949096880131e-05
IBCF,242.498197242842,232.0,0.024160175828279763,93.66914103923648,6.193001060445387,0.1378579003181336,0.11296076099881094,190,2.0234467876342324,0.7231243320599123,0.9652199131720935,0.259267014509181,0.9402175956605314,0.2180645002186249,0.1496311278043305
IBCF-rating,7.42237539766702,1.0,0.8271350374057759,1.3149522799575823,1.76033934252386,96.92470837751856,0.17717003567181927,298,8.102763496741918,0.7032706290382923,0.9762967128714868,0.0023216441973858,0.9286790972660172,0.0016981413380253,0.0006499726327312
RegressionCF,195.550901378579,181.0,0.05693878877076022,74.65535524920467,21.060445387062565,4.2841993637327676,0.21938168846611178,369,2.408497723837805,0.6929488109167184,0.9373097723636079,0.2289736995921417,0.9407811242103048,0.1788172689460187,0.1275302667263425
RegressionCF-rating,168.1409331919406,156.0,0.07592057194658282,59.692470837751856,38.31389183457052,1.9936373276776245,0.0850178359096314,143,2.637293497264029,0.7372475104059156,0.9861275838111221,0.1039290980071825,0.919115895408422,0.0604686806478759,0.0491919661183438
SLIM,211.84591728525982,202.0,0.04663928391863905,76.17179215270413,22.152704135737007,1.6755037115588547,0.20630202140309156,347,2.282741867945627,0.7067266069828245,0.9305720983074484,0.2949581315431235,1.0331168197746226,0.2449703763487404,0.1729064112374675
GraphRec,275.3707317073171,275.0,0.017482019426148274,93.93425238600213,5.853658536585367,0.2120890774125133,0.07966706302021404,134,1.8402544216491785,0.7103905828533743,0.9789629575456174,0.2545763826111706,1.0724670329532704,0.2131355050438399,0.1432441494318033
