i,n_ratings,title
0,452,Toy Story (1995)
1,131,GoldenEye (1995)
2,90,Four Rooms (1995)
3,209,Get Shorty (1995)
4,86,Copycat (1995)
5,26,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
6,392,Twelve Monkeys (1995)
7,219,Babe (1995)
8,299,Dead Man Walking (1995)
9,89,Richard III (1995)
10,236,Seven (Se7en) (1995)
11,267,"Usual Suspects, The (1995)"
12,184,Mighty Aphrodite (1995)
13,183,"Postino, Il (1994)"
14,293,Mr. Holland's Opus (1995)
15,39,French Twist (Gazon maudit) (1995)
16,92,From Dusk Till Dawn (1996)
17,10,"White Balloon, The (1995)"
18,69,Antonia's Line (1995)
19,72,Angels and Insects (1995)
20,84,Muppet Treasure Island (1996)
21,297,Braveheart (1995)
22,182,Taxi Driver (1976)
23,174,Rumble in the Bronx (1995)
24,293,"Birdcage, The (1996)"
25,73,"Brothers McMullen, The (1995)"
26,57,Bad Boys (1995)
27,276,Apollo 13 (1995)
28,114,Batman Forever (1995)
29,37,Belle de jour (1967)
30,154,Crimson Tide (1995)
31,81,Crumb (1994)
32,97,Desperado (1995)
33,7,"Doom Generation, The (1995)"
34,11,Free Willy 2: The Adventure Home (1995)
35,13,Mad Love (1995)
36,8,Nadja (1994)
37,120,"Net, The (1995)"
38,87,Strange Days (1995)
39,57,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
40,37,Billy Madison (1995)
41,148,Clerks (1994)
42,40,Disclosure (1994)
43,79,Dolores Claiborne (1994)
44,80,Eat Drink Man Woman (1994)
45,27,Exotica (1994)
46,133,Ed Wood (1994)
47,117,Hoop Dreams (1994)
48,81,I.Q. (1994)
49,583,Star Wars (1977)
50,81,Legends of the Fall (1994)
51,91,"Madness of King George, The (1994)"
52,128,Natural Born Killers (1994)
53,104,Outbreak (1995)
54,149,"Professional, The (1994)"
55,394,Pulp Fiction (1994)
56,40,Priest (1994)
57,175,Quiz Show (1994)
58,83,Three Colors: Red (1994)
59,64,Three Colors: Blue (1993)
60,59,Three Colors: White (1994)
61,127,Stargate (1994)
62,82,"Santa Clause, The (1994)"
63,283,"Shawshank Redemption, The (1994)"
64,115,What's Eating Gilbert Grape (1993)
65,162,While You Were Sleeping (1995)
66,103,Ace Ventura: Pet Detective (1994)
67,134,"Crow, The (1994)"
68,321,Forrest Gump (1994)
69,251,Four Weddings and a Funeral (1994)
70,220,"Lion King, The (1994)"
71,129,"Mask, The (1994)"
72,128,Maverick (1994)
73,7,Faster Pussycat! Kill! Kill! (1965)
74,5,Brother Minister: The Assassination of Malcolm X (1994)
75,54,Carlito's Way (1993)
76,151,"Firm, The (1993)"
77,33,Free Willy (1993)
78,336,"Fugitive, The (1993)"
79,68,Hot Shots! Part Deux (1993)
80,110,"Hudsucker Proxy, The (1994)"
81,261,Jurassic Park (1993)
82,176,Much Ado About Nothing (1993)
83,18,Robert A. Heinlein's The Puppet Masters (1994)
84,58,"Ref, The (1994)"
85,150,"Remains of the Day, The (1993)"
86,138,Searching for Bobby Fischer (1993)
87,213,Sleepless in Seattle (1993)
88,275,Blade Runner (1982)
89,95,So I Married an Axe Murderer (1993)
90,143,"Nightmare Before Christmas, The (1993)"
91,104,True Romance (1993)
92,112,Welcome to the Dollhouse (1995)
93,137,Home Alone (1990)
94,219,Aladdin (1992)
95,295,Terminator 2: Judgment Day (1991)
