u,n_ratings
0,272
1,62
2,54
3,24
4,175
5,211
6,403
7,59
8,22
9,184
10,181
11,51
12,636
13,98
14,104
15,140
16,28
17,277
18,20
19,48
20,179
21,128
22,151
23,68
24,78
25,107
26,25
27,79
28,34
29,43
30,36
31,41
32,24
33,20
34,25
35,20
36,57
37,121
38,22
39,35
40,52
41,183
42,221
43,151
44,48
45,27
46,25
47,66
48,215
49,24
50,23
51,56
52,28
53,65
54,21
55,187
56,106
57,154
58,382
59,208
60,21
61,232
62,93
63,200
64,80
65,38
66,30
67,34
68,65
69,131
70,38
71,137
72,66
73,39
74,79
75,82
76,72
77,21
78,55
79,29
80,58
81,168
82,155
83,68
84,288
85,23
86,211
87,21
88,76
89,300
90,98
91,388
92,20
93,400
94,278
95,56
96,63
97,27
98,136
99,59
100,67
101,216
102,29
103,111
104,23
105,64
106,22
107,33
108,234
109,133
110,24
111,46
112,51
113,48
114,92
115,143
116,86
117,71
118,181
119,26
120,74
121,61
122,54
123,24
124,182
125,45
126,23
127,184
128,30
129,353
130,30
131,22
132,26
133,25
134,55
135,35
136,47
137,51
138,24
139,21
140,107
141,33
142,20
143,206
144,316
145,29
146,20
147,65
148,36
149,32
150,307
151,106
152,23
153,51
154,22
155,37
156,51
157,173
158,107
159,120
160,58
161,42
162,23
163,63
164,30
165,20
166,69
167,69
168,37
169,22
170,28
171,27
172,43
173,177
174,38
175,63
176,115
177,273
178,42
179,63
180,435
181,28
182,53
183,251
184,48
185,92
186,56
187,112
188,187
189,59
190,27
191,35
192,121
193,305
194,96
195,39
196,118
197,181
198,40
199,216
200,386
201,20
202,43
203,42
204,22
205,64
206,230
207,33
208,33
209,132
210,37
211,25
212,126
213,128
214,93
215,131
216,76
217,53
218,28
219,22
220,146
221,387
222,105
223,141
224,27
225,50
226,58
227,21
228,30
229,133
230,21
231,93
232,110
233,480
234,94
235,124
236,48
237,29
238,159
239,24
240,23
241,20
242,81
243,238
244,22
245,195
246,26
247,56
248,161
249,122
250,77
251,21
252,97
253,159
254,83
255,207
256,57
257,23
258,46
259,24
260,27
261,160
262,123
263,120
264,46
265,23
266,185
267,328
268,323
269,138
270,278
271,51
272,22
273,71
274,95
275,518
276,54
277,23
278,434
279,258
280,26
281,22
282,53
283,47
284,32
285,288
286,62
287,75
288,27
289,150
290,296
291,124
292,388
293,150
294,196
295,147
296,192
297,127
298,280
299,20
300,275
301,21
302,484
303,26
304,222
305,32
306,112
307,397
308,20
309,21
310,294
311,223
312,262
313,245
314,87
315,75
316,22
317,174
318,23
319,154
320,125
321,51
322,89
323,66
324,142
325,187
326,284
327,283
328,65
329,147
330,70
331,183
332,26
333,333
334,22
335,130
336,34
337,75
338,254
339,44
340,21
341,201
342,237
343,190
344,232
345,193
346,199
347,58
348,41
349,50
350,44
351,42
352,25
353,233
354,26
355,24
356,76
357,43
358,27
359,102
360,121
361,25
362,311
363,20
364,58
365,33
366,58
367,45
368,22
369,75
370,51
371,66
372,233
373,274
374,28
375,30
376,33
377,375
378,196
379,162
380,127
381,53
382,71
383,22
384,281
385,23
386,304
387,52
388,271
389,31
390,121
391,111
392,448
393,149
394,57
395,54
396,102
397,172
398,319
399,22
400,153
401,68
402,50
403,44
404,737
405,342
406,226
407,27
408,203
409,28
410,58
411,51
412,50
413,25
414,24
415,493
416,365
417,20
418,32
419,36
420,62
421,97
422,64
423,44
424,204
425,101
426,31
427,55
428,414
429,65
430,21
431,62
432,41
433,44
434,379
435,145
436,263
437,33
438,31
439,51
440,20
441,143
442,24
443,24
444,135
445,36
446,139
447,38
448,75
449,540
450,98
451,206
452,156
453,236
454,189
455,217
456,277
457,183
458,118
459,68
460,23
461,33
462,133
463,53
464,80
465,101
466,44
467,143
468,43
469,57
470,31
471,263
472,35
473,327
474,20
475,83
476,35
477,113
478,202
479,60
480,56
481,26
482,59
483,139
484,26
485,189
486,231
487,154
488,109
489,57
490,33
491,55
492,135
493,47
494,213
495,129
496,279
497,149
498,102
499,225
500,73
501,37
502,160
503,251
504,112
505,242
506,58
507,87
508,33
509,30
510,24
511,21
512,22
513,194
514,40
515,21
516,37
517,73
518,49
519,23
520,150
521,30
522,100
523,306
524,54
525,68
526,137
527,53
528,43
529,45
530,30
531,274
532,260
533,80
534,218
535,163
536,490
537,81
538,56
539,63
540,133
541,135
542,197
543,31
544,162
545,59
546,23
547,155
548,25
549,40
550,334
551,84
552,100
553,114
554,52
555,44
556,53
557,20
558,76
559,101
560,357
561,72
562,30
563,34
564,35
565,149
566,155
567,81
568,70
569,22
570,20
571,20
572,51
573,46
574,26
575,36
576,188
577,24
578,74
579,47
580,28
581,62
582,27
583,24
584,80
585,166
586,98
587,225
588,43
589,48
590,84
591,360
592,156
593,25
594,96
595,20
596,41
597,25
598,47
599,89
600,148
601,29
602,47
603,27
604,90
605,236
606,37
607,163
608,28
609,75
610,42
611,27
612,28
613,39
614,103
615,43
616,108
617,216
618,89
619,110
620,171
621,228
622,45
623,141
624,106
625,32
626,181
627,27
628,121
629,108
630,20
631,118
632,58
633,135
634,34
635,20
636,104
637,67
638,148
639,109
640,40
641,318
642,206
643,42
644,122
645,38
646,58
647,297
648,24
649,311
650,21
651,22
652,283
653,147
654,685
655,24
656,29
657,71
658,191
659,224
660,121
661,23
662,158
663,166
664,142
665,245
666,47
667,46
668,100
669,46
670,124
671,29
672,35
673,41
674,34
675,77
676,49
677,28
678,62
679,38
680,22
681,399
682,75
683,86
684,20
685,71
686,21
687,24
688,36
689,115
690,32
691,40
692,154
693,157
694,38
695,29
696,105
697,127
698,149
699,21
700,33
701,31
702,47
703,90
704,114
705,29
706,236
707,105
708,138
709,86
710,221
711,162
712,30
713,44
714,167
715,269
716,93
717,39
718,67
719,30
720,168
721,42
722,22
723,85
724,25
725,24
726,322
727,26
728,21
729,38
730,83
731,20
732,107
733,64
734,53
735,24
736,33
737,148
738,35
739,20
740,104
741,26
742,35
743,27
744,60
745,67
746,293
747,108
748,305
749,33
750,168
751,73
752,57
753,34
754,38
755,109
756,166
757,357
758,32
759,41
760,66
761,21
762,129
763,109
764,23
765,175
766,37
767,64
768,29
769,64
770,70
771,33
772,161
773,224
774,28
775,105
776,36
777,65
778,37
779,55
780,42
781,232
782,30
783,39
784,27
785,117
786,57
787,249
788,33
789,231
790,25
791,47
792,55
793,39
794,159
795,358
796,26
797,239
798,24
799,28
800,26
801,75
802,33
803,332
804,273
805,140
806,204
807,23
808,20
809,26
810,21
811,20
812,29
813,35
814,183
815,25
816,36
817,21
818,28
819,21
820,62
821,25
822,185
823,20
824,145
825,115
826,28
827,104
828,64
829,106
830,73
831,25
832,267
833,54
834,102
835,50
836,46
837,93
838,57
839,197
840,31
841,27
842,204
843,81
844,31
845,405
846,146
847,150
848,23
849,51
850,209
851,49
852,41
853,217
854,23
855,26
856,22
857,21
858,39
859,71
860,43
861,165
862,107
863,294
864,66
865,20
866,95
867,208
868,47
869,269
870,115
871,71
872,20
873,34
874,89
875,21
876,81
877,134
878,29
879,368
880,259
881,137
882,268
883,43
884,102
885,240
886,171
887,20
888,326
889,119
890,47
891,226
892,59
893,245
894,20
895,362
896,185
897,30
898,135
899,45
900,124
901,49
902,136
903,47
904,40
905,41
906,147
907,74
908,26
909,60
910,98
911,53
912,132
913,23
914,26
915,317
916,35
917,103
918,217
919,26
920,110
921,127
922,74
923,82
924,32
925,20
926,120
927,32
928,49
929,63
930,61
931,241
932,184
933,174
934,39
935,142
936,40
937,108
938,49
939,107
940,22
941,79
942,168
