target_item,target_title,neighbor_item,neighbor_title,similarity,normalised_similarity_weight,learned_coefficient,gap,n_train_users_for_target
1318,"Neon Bible, The (1995)",1008,Stealing Beauty (1996),0.0001696043559924996,1.0,-0.004632848130885192,-1.0046328481308853,3
1588,Schizopolis (1996),1404,Boy's Life 2 (1997),0.0018722368103353643,1.0,0.0015615278498325618,-0.9984384721501675,3
1329,An Unforgettable Summer (1994),227,Star Trek: The Wrath of Khan (1982),0.0050638246298343025,1.0,0.0031924433483552185,-0.9968075566516448,3
1236,Twisted (1996),287,Scream (1996),0.001240045244704781,1.0,0.003861261035854865,-0.9961387389641452,3
1377,Rhyme & Reason (1997),1225,Night Falls on Manhattan (1997),0.03486349960095728,1.0,0.007856379780358908,-0.9921436202196411,3
1512,Sprung (1997),288,Evita (1996),0.007167135860920503,1.0,0.008590409564753081,-0.9914095904352469,3
1360,"Search for One-eye Jimmy, The (1996)",234,Mars Attacks! (1996),0.002274097319036483,1.0,0.009073886695703961,-0.990926113304296,3
883,Year of the Horse (1997),136,Big Night (1996),0.0052293522889818155,1.0,0.010027764448941344,-0.9899722355510586,3
1388,Mondo (1996),747,"Saint, The (1997)",0.004170005398092475,1.0,0.010477990552743033,-0.989522009447257,3
1332,Midnight Dancers (Sibak) (1994),150,Willy Wonka and the Chocolate Factory (1971),0.0050952018500190314,1.0,0.010489790406076744,-0.9895102095939232,3
1137,Best Men (1997),293,Liar Liar (1997),0.004884494046393153,1.0,0.011419348047579133,-0.9885806519524208,3
1429,Ill Gotten Gains (1997),299,Air Force One (1997),0.005000460099264671,1.0,0.012673590312302713,-0.9873264096876972,3
665,Blood For Dracula (Andy Warhol's Dracula) (1974),427,Harold and Maude (1971),0.006149172516209208,1.0,0.01467228975599699,-0.985327710244003,3
1274,Killer (Bulletproof Heart) (1994),94,Aladdin (1992),0.00795076342973882,1.0,0.016038750058051155,-0.9839612499419489,3
1382,"Second Jungle Book: Mowgli & Baloo, The (1997)",454,Jackie Chan's First Strike (1996),0.013556337300738356,1.0,0.01615477263625688,-0.9838452273637431,3
1384,Roseanna's Grave (For Roseanna) (1997),236,Jerry Maguire (1996),0.009397610813931576,1.0,0.019245638580889058,-0.980754361419111,3
837,In the Line of Duty 2 (1987),78,"Fugitive, The (1993)",0.009546223701296645,1.0,0.029702034351476513,-0.9702979656485234,3
438,Amityville: A New Generation (1993),439,Amityville II: The Possession (1982),0.04834592533179105,1.0,0.030957985156068537,-0.9690420148439315,3
1604,Love Serenade (1996),935,Brassed Off (1996),0.014434309269461768,0.7893487643166717,0.013527321042318406,-0.7758214432743533,4
1326,Captives (1994),149,Swingers (1996),0.016694301686809458,0.81025220307031,0.04154286684345087,-0.7687093362268591,3
1484,"Colonel Chabert, Le (1994)",60,Three Colors: White (1994),0.0033423063112314666,0.7591092528551878,0.0010896273776312183,-0.7580196254775566,3
1606,Hurricane Streets (1998),908,Dangerous Beauty (1998),0.05808959088625653,0.7668580772274094,0.028579617855083835,-0.7382784593723256,3
1465,Margaret's Museum (1995),315,As Good As It Gets (1997),0.03029991441905247,0.7496354317879079,0.0178156477847928,-0.7318197840031151,3
1381,"Bonheur, Le (1965)",514,"Boot, Das (1981)",0.011067736881019547,0.709466185600753,0.011673023495641406,-0.6977931621051117,4
1345,Dingo (1992),503,Bonnie and Clyde (1967),0.016474215355271354,0.6765909209157367,0.007616803099060843,-0.6689741178166758,4
1346,"Ballad of Narayama, The (Narayama Bushiko) (1958)",18,Antonia's Line (1995),0.021593343669785003,0.6958403172699716,0.038490385484008544,-0.6573499317859631,4
1113,Faithful (1996),411,"Very Brady Sequel, A (1996)",0.02220027615825571,0.6487341130402403,0.03677722412169041,-0.6119568889185499,5
1259,Total Eclipse (1995),287,Scream (1996),0.010286103656346078,0.6346382737071931,0.025175414902385937,-0.6094628588048071,3
1143,"Quiet Room, The (1996)",255,When the Cats Away (Chacun cherche son chat) (1996),0.0429147184962261,0.6072586786057492,0.013825849992528874,-0.5934328286132203,3
1431,"Mighty, The (1998)",307,FairyTale: A True Story (1997),0.023416308052611995,0.6033380333560245,0.014460906795130611,-0.588877126560894,3
1316,"Journey of August King, The (1995)",274,Sense and Sensibility (1995),0.012822449299876526,0.5993412110590716,0.028625061012359235,-0.5707161500467123,4
1380,Losing Chase (1996),1141,When We Were Kings (1996),0.019002567023776454,0.5738044412885808,0.012209974003137392,-0.5615944672854434,6
1495,Carpool (1996),367,Bio-Dome (1996),0.01721506182150716,0.5591208417626511,0.006288410615847076,-0.552832431146804,3
909,Nil By Mouth (1997),330,"Edge, The (1997)",0.02774981814078242,0.58713380928337,0.04371416657317882,-0.5434196427101912,4
1233,Chairman of the Board (1998),320,Mother (1996),0.02275104807054009,0.5874941660187509,0.046900629991935394,-0.5405935360268155,4
890,Bent (1997),881,Washington Square (1997),0.01277708793015366,0.5476856291100977,0.016271464039949255,-0.5314141650701484,3
642,The Innocent (1994),637,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",0.021176800833171222,0.5408804751800272,0.01004940344815677,-0.5308310717318705,4
1622,"Cérémonie, La (1995)",197,Nikita (La Femme Nikita) (1990),0.021975404742924684,0.5412087152197477,0.011218220804793245,-0.5299904944149544,3
1533,Twin Town (1997),474,Trainspotting (1996),0.011143843947221678,0.5565918764245458,0.028942917724055023,-0.5276489587004908,3
1597,City of Industry (1997),681,I Know What You Did Last Summer (1997),0.01295296417978502,0.529868203079163,0.019698392133064027,-0.510169810946099,5
991,Head Above Water (1996),341,"Man Who Knew Too Little, The (1997)",0.011769794968463499,0.5036517712986742,0.012348739662754753,-0.4913030316359195,3
1379,Hollow Reed (1996),295,"Promesse, La (1996)",0.05870004983705916,0.5028823902919307,0.021934098913100362,-0.48094829137883033,5
1366,Faust (1994),284,Secrets & Lies (1996),0.02142463857972816,0.49602225747510614,0.02501332534644083,-0.4710089321286653,3
1002,That Darn Cat! (1997),731,Dave (1993),0.005365746031229973,0.4811821527301809,0.015774316673897115,-0.4654078360562838,3
295,"Promesse, La (1996)",1379,Hollow Reed (1996),0.058700049837059155,0.48467523514743877,0.02260041925322256,-0.46207481589421623,5
1393,Swept from the Sea (1997),307,FairyTale: A True Story (1997),0.0347984691357487,0.4926545711100058,0.03720018635954584,-0.45545438475045996,5
1441,"Scarlet Letter, The (1995)",584,Son in Law (1993),0.03516088045370021,0.4796714951719677,0.026520504195089716,-0.453150990976878,4
1486,Even Cowgirls Get the Blues (1993),553,Waterworld (1995),0.019015227449740695,0.46441958410602757,0.02314510778987471,-0.44127447631615285,4
1195,"Savage Nights (Nuits fauves, Les) (1992)",546,"Young Poisoner's Handbook, The (1995)",0.032645276495371044,0.45058852446048875,0.010082544774419618,-0.44050597968606914,3
