model,split,k,rmse,mae,n_test_ratings,train_time_s,predict_time_s,rank_time_s,model_bytes,catalog_coverage,n_covered_items,n_users_scored,n_users_with_relevant,user_coverage,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,hit_rate_mean,hit_rate_median,hit_rate_std,ndcg_mean,ndcg_median,ndcg_std,map_mean,map_median,map_std,novelty_mean,novelty_median,novelty_std,ild_mean,ild_median,ild_std,pop_rank_mean,pop_rank_median,pop_rank_std,head_frac_mean,head_frac_median,head_frac_std,medium_frac_mean,medium_frac_median,medium_frac_std,tail_frac_mean,tail_frac_median,tail_frac_std,tag,l1,l2,threshold,top_m_features,nnz,sparsity_pct,density_pct,mean_nnz_per_column,empty_columns,iterations,converged,kkt_relative_violation,objective,fit_time_s,implicit_nnz,l1_ratio
"SLIM[l1=0.1,l2=50]",val,10,1.0373597274010071,0.8339971187797065,9596,14.638016415992752,0.04211699997540563,0.0266887919860892,2785272,0.20868014268727705,351,943,880,0.9989395546129375,0.1134090909090909,0.1,0.1189725292489664,0.2368832471334337,0.16228070175438597,0.2805132064056755,0.6386363636363637,1.0,0.4806688121576785,0.20709687420694528,0.16958010263680806,0.2194002922575314,0.11963671168172656,0.05634920634920636,0.1720195548894376,2.2832458084306277,2.2310732852993596,0.32203484514866004,0.7069140835359607,0.71851397613548,0.08097511147811072,0.046740281721416393,0.039262343842950624,0.03311744182873862,0.7612937433722164,0.8,0.20455851075883003,0.2215270413573701,0.2,0.1872615286347677,0.017179215270413578,0.0,0.05902333836708163,l1_sweep,0.1,50.0,4.0,-1,231545,91.81079576521817,8.189204234781828,137.66052318668252,293,175,True,9.804787312098486e-05,12786.26851654609,14.638016415992752,39239,0.0019960079840319364
"SLIM[l1=0.25,l2=50]",val,10,1.0368272647482029,0.8334095930424644,9596,20.827879416989163,0.06148508400656283,0.02689770801225677,2547480,0.21046373365041618,354,943,880,0.9989395546129375,0.11306818181818182,0.1,0.11848357321036113,0.2368638226395774,0.16666666666666666,0.2815608016732185,0.6375,1.0,0.4809954836483419,0.20682715633090926,0.16958010263680806,0.2194093344112555,0.11939889470097803,0.05555555555555555,0.1717701620368012,2.284365223155986,2.2359302029549615,0.32233058901383477,0.7075129435871801,0.7201979950014802,0.08019453231181128,0.04690354362871669,0.039559785841760856,0.03320887067171164,0.7608695652173914,0.8,0.2043218989308769,0.22173913043478263,0.2,0.18683970168397748,0.01739130434782609,0.0,0.058961128372111246,l1_sweep,0.25,50.0,4.0,-1,211729,92.5116412644362,7.488358735563806,125.87931034482759,293,175,True,9.595285550303104e-05,13072.83113050662,20.827879416989163,39239,0.004975124378109453
"SLIM[l1=0.5,l2=50]",val,10,1.0362410855040125,0.8326939641379217,9596,26.421721167047508,0.05184400000143796,0.03367812494980171,2063388,0.20630202140309156,347,943,880,0.9989395546129375,0.11363636363636363,0.1,0.11904227046478187,0.2394003553678227,0.16666666666666666,0.2830203754290281,0.6397727272727273,1.0,0.4803392270981564,0.20809537428823,0.17545297906601978,0.21942411486368027,0.1202923443261985,0.05833333333333333,0.17231377517495755,2.282741867945627,2.2372505066449393,0.31701744874451065,0.7067266069828245,0.7193705643185503,0.08112677661333666,0.04663928391863904,0.03950029744199881,0.032674300098868646,0.7617179215270414,0.8,0.20244790938919952,0.2215270413573701,0.2,0.18618131774973845,0.01675503711558855,0.0,0.056950740565224395,l1_sweep,0.5,50.0,4.0,-1,171388,93.93840793197526,6.061592068024738,101.89536266349585,293,175,True,9.667485354940896e-05,13463.930093141284,26.421721167047508,39239,0.009900990099009901
"SLIM[l1=1,l2=50]",val,10,1.0357499059110726,0.8321019107406266,9596,56.963420999993104,0.05502179102040827,0.0341161250253208,1034664,0.20214030915576695,340,943,880,0.9989395546129375,0.11352272727272728,0.1,0.11891182546749501,0.23811673684795098,0.16228070175438597,0.2823452254119388,0.6409090909090909,1.0,0.48000672246818044,0.20707414550814024,0.1733071451682328,0.21942060011637168,0.11967911595404154,0.05634920634920636,0.1725695626294211,2.27858984125529,2.226710413687262,0.31673511790293435,0.7055653105869358,0.7193754417953422,0.08125093669144681,0.04610250046840018,0.03848899464604402,0.03265938244704299,0.7647932131495229,0.8,0.20172066272769265,0.21919406150583245,0.2,0.18506493806844254,0.016012725344644752,0.0,0.05669795421345786,l1_sweep,1.0,50.0,4.0,-1,85661,96.97037109868212,3.0296289013178694,50.928061831153386,491,200,True,6.157853744814382e-05,14019.571987657002,56.963420999993104,39239,0.0196078431372549
"SLIM[l1=2,l2=50]",val,10,1.0360646343608575,0.8323599795539386,9596,29.369887667009607,0.048618791974149644,0.02919391600880772,581724,0.19143876337693222,322,943,880,0.9989395546129375,0.11386363636363639,0.1,0.11795982635181636,0.2369818162832524,0.16228070175438597,0.2793844350851944,0.6431818181818182,1.0,0.479332930140476,0.206864466554437,0.16813991137001416,0.21927385356905765,0.11949928941483999,0.05555555555555555,0.1730111022932256,2.2650545253314758,2.2197723891164407,0.308090082687929,0.7077375953260442,0.718790935310385,0.07971328564624376,0.044675472800301284,0.03819155264723379,0.03129882760248999,0.7729586426299047,0.8,0.19994809673397715,0.21410392364793213,0.2,0.18689102895627135,0.01293743372216331,0.0,0.05133218188029748,l1_sweep,2.0,50.0,4.0,-1,47916,98.30532332758727,1.694676672412732,28.487514863258028,618,200,True,7.340052936566856e-05,14751.811451708714,29.369887667009607,39239,0.038461538461538464
"SLIM[l1=5,l2=50]",val,10,1.0409539969147057,0.8384622417625475,9596,45.9702615000424,0.14284495904576033,0.0464493750478141,245340,0.17300832342449465,291,943,880,0.9989395546129375,0.11159090909090909,0.1,0.11645978436121879,0.22967830628693545,0.15384615384615385,0.2734493916213901,0.6420454545454546,1.0,0.4796712921962755,0.20306955776996596,0.15157976608702273,0.22072969363740944,0.11779350602825306,0.05,0.17613676140853488,2.219581891780677,2.172717794048117,0.29846172617170297,0.7084404642319001,0.7179108748640587,0.0777062529821106,0.04066697662036497,0.034205829863176676,0.030315769660082932,0.8026511134676565,0.9,0.19055002579785033,0.18822905620360553,0.1,0.17975963700284,0.009119830328738072,0.0,0.04745731638117368,l1_sweep,5.0,50.0,4.0,-1,19884,99.29674950007816,0.7032504999218375,11.821640903686088,890,200,True,8.932468827125112e-05,15994.085343847959,45.9702615000424,39239,0.09090909090909091
"SLIM[l1=10,l2=50]",val,10,1.051220663050973,0.8518408573583325,9596,120.56019770901185,0.07084620901150629,0.07507237500976771,117072,0.1516052318668252,255,943,880,0.9978791092258749,0.10681818181818184,0.1,0.11277395368269852,0.21962414467828098,0.14285714285714285,0.2677845080979563,0.6261363636363636,1.0,0.4841032238344639,0.1946355529148509,0.1480409554829326,0.21573685147595814,0.11148115938294509,0.05,0.16870067656062926,2.1601934926301274,2.110666114789515,0.3381290937616858,0.7082408512501767,0.7172723018177241,0.07172824095900204,0.036366779103737555,0.028554431885782272,0.03780690387769827,0.8413573700954402,0.9,0.18013636780101133,0.1523860021208908,0.1,0.17002601117112734,0.006256627783669142,0.0,0.05748706026355494,l1_sweep,10.0,50.0,4.0,-1,9195,99.67479439012365,0.3252056098763476,5.466706302021403,1105,200,True,7.180848352583579e-05,17108.718662689666,120.56019770901185,39239,0.16666666666666666
"SLIM[l1=20,l2=50]",val,10,1.0669004572444878,0.8727145207154491,9596,44.196801832993515,0.07420687499688938,0.04805429099360481,48696,0.12187871581450654,205,943,880,0.9936373276776246,0.10022727272727273,0.1,0.10919060239442126,0.20239876889410216,0.13333333333333333,0.2541109782749543,0.6022727272727273,1.0,0.4897068549713981,0.18215216516415667,0.13342852547239478,0.2114088027818563,0.10358356041280146,0.0365079365079365,0.16643270064657104,2.1053145671631066,2.025189986244521,0.5199659703197146,0.7088592833672426,0.7182940697179483,0.06837209608412426,0.03458338879485839,0.02314098750743605,0.0649711781022398,0.8899257688229056,1.0,0.1657329304946279,0.09724284199363734,0.0,0.13650486793301253,0.012831389183457052,0.0,0.10060718102375113,l1_sweep,20.0,50.0,4.0,-1,3497,99.8763193020405,0.12368069795949838,2.0790725326991675,1307,175,True,7.021995008937547e-05,18253.042448788216,44.196801832993515,39239,0.2857142857142857
"SLIM[l1=50,l2=50]",val,10,1.096560294250424,0.9110628494286392,9596,41.96762020897586,0.10871991701424122,0.034079625038430095,12492,0.07312722948870393,123,943,880,0.9692470837751855,0.0805681818181818,0.0,0.10094950758678661,0.14209534682328592,0.0,0.21062102266656726,0.49772727272727274,0.0,0.5002791650082571,0.13726920264973264,0.0,0.1871807394584588,0.07495605251780846,0.0,0.13982383456855987,2.570789484878185,1.9262619897171038,1.4611524562917448,0.7197866481132364,0.7246731641271615,0.0652280212438117,0.10614162528868908,0.016954193932183222,0.18884513069352687,0.8501590668080594,1.0,0.298078553283846,0.007423117709437964,0.0,0.026228583944759132,0.14241781548250265,0.0,0.29367588938315875,l1_sweep,50.0,50.0,4.0,-1,480,99.98302352444365,0.016976475556350935,0.2853745541022592,1569,125,True,8.056397756954316e-05,19343.92618464309,41.96762020897586,39239,0.5
"SLIM[l1=2,l2=0]",val,10,1.0431105414772208,0.839782834719481,9596,171.62929020798765,0.412824583996553,0.054179875005502254,347436,0.26456599286563615,445,943,880,0.9989395546129375,0.10375000000000001,0.1,0.11446877353132444,0.212442040569725,0.12771739130434784,0.2685895996723692,0.6102272727272727,1.0,0.4879759623892212,0.18768258349368103,0.13886244387355456,0.21569038994136294,0.10821973633729585,0.04,0.17357587394656876,2.4290458758304756,2.3972208235780608,0.33722319141448986,0.7154624902175045,0.7301488221402292,0.08252075727655246,0.0609027475061239,0.05377751338488995,0.03664759857836786,0.6840933191940616,0.7,0.1997381507421684,0.27497348886532347,0.3,0.17415057525972344,0.04093319194061505,0.0,0.08164952021844715,l2_sweep,2.0,0.0,4.0,-1,28392,98.99584147084184,1.0041585291581578,16.879904875148632,618,500,True,9.514679460725223e-05,14067.820159474697,171.62929020798765,39239,1.0
"SLIM[l1=2,l2=1]",val,10,1.0425845880585705,0.8391980370595349,9596,163.88006820803275,0.49143654096405953,0.5491602909751236,354960,0.2609988109393579,439,943,880,0.9989395546129375,0.1053409090909091,0.1,0.11549417848639196,0.21471032886629887,0.14285714285714285,0.26819268221713843,0.615909090909091,1.0,0.4866561542110426,0.1895497593880876,0.13886244387355456,0.2159035285690529,0.10935453385899814,0.041666666666666664,0.17410282737798652,2.4189191296778443,2.386727354410154,0.3352487754621193,0.7151461023733409,0.7304158218076025,0.08316917866690463,0.0598161221764301,0.052944675788221304,0.036234318388728405,0.689289501590668,0.7,0.19963295397346528,0.27179215270413576,0.2,0.17512407267441654,0.038918345705196186,0.0,0.07941998278267853,l2_sweep,2.0,1.0,4.0,-1,29019,98.97366594964636,1.0263340503536411,17.252675386444707,618,450,True,9.888094344144721e-05,14097.144447944818,163.88006820803275,39239,0.6666666666666666
