Movie,item,n_models_recommending,train_popularity,popularity_group,UBCF reasoning,IBCF reasoning,RegressionCF reasoning,SLIM reasoning,GraphRec reasoning
Pulp Fiction (1994),55,4,287,head,"strongest contributing neighbours: neighbour u212 (sim=+0.336, 30 co-ratings) rated it 5 vs their mean 4.27 -> +1.681; neighbour u434 (sim=+0.331, 55 co-ratings) rated it 5 vs their mean 3.33 -> +1.657; neighbour u307 (sim=+0.331, 53 co-ratings) rated it 5 vs their mean 3.76 -> +1.657","most similar movies you already rated: 'Terminator, The (1984)' (you rated 5, sim=+0.486, 123 co-ratings) -> +0.486; 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.485, 143 co-ratings) -> +0.485; 'Fargo (1996)' (you rated 5, sim=+0.480, 153 co-ratings) -> +0.480",not in this model's Top-10,"strongest learned item-item coefficients from your liked items: 'Reservoir Dogs (1992)' W=0.0590; 'Fargo (1996)' W=0.0414; 'Usual Suspects, The (1995)' W=0.0386","strongest graph propagation paths: via 'Reservoir Dogs (1992)' (50 length-3 paths, weight 1.66e-04); via 'Strange Days (1995)' (17 length-3 paths, weight 1.57e-04); via 'Flirting With Disaster (1996)' (10 length-3 paths, weight 1.43e-04)"
"Silence of the Lambs, The (1991)",97,4,275,head,"strongest contributing neighbours: neighbour u212 (sim=+0.336, 30 co-ratings) rated it 5 vs their mean 4.27 -> +1.681; neighbour u434 (sim=+0.331, 55 co-ratings) rated it 5 vs their mean 3.33 -> +1.657; neighbour u932 (sim=+0.326, 34 co-ratings) rated it 5 vs their mean 2.68 -> +1.631","most similar movies you already rated: 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.520, 147 co-ratings) -> +0.520; 'Jaws (1975)' (you rated 4, sim=+0.512, 127 co-ratings) -> +0.512; 'Star Wars (1977)' (you rated 4, sim=+0.487, 174 co-ratings) -> +0.487",not in this model's Top-10,"strongest learned item-item coefficients from your liked items: 'Reservoir Dogs (1992)' W=0.0505; 'Usual Suspects, The (1995)' W=0.0369; 'Bonnie and Clyde (1967)' W=0.0339","strongest graph propagation paths: via 'Carrie (1976)' (29 length-3 paths, weight 1.73e-04); via 'Bonnie and Clyde (1967)' (34 length-3 paths, weight 1.55e-04); via 'Tombstone (1993)' (28 length-3 paths, weight 1.53e-04)"
"Empire Strikes Back, The (1980)",171,4,254,head,"strongest contributing neighbours: neighbour u292 (sim=+0.359, 56 co-ratings) rated it 5 vs their mean 3.10 -> +1.793; neighbour u428 (sim=+0.333, 55 co-ratings) rated it 5 vs their mean 3.38 -> +1.664; neighbour u434 (sim=+0.331, 55 co-ratings) rated it 5 vs their mean 3.33 -> +1.657","most similar movies you already rated: 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.532, 146 co-ratings) -> +0.532; 'E.T. the Extra-Terrestrial (1982)' (you rated 4, sim=+0.502, 120 co-ratings) -> +0.502; 'Terminator, The (1984)' (you rated 5, sim=+0.499, 119 co-ratings) -> +0.499","strongest learned regression coefficients: 'Star Wars (1977)' learned coef=+0.026 (similarity +0.408, you liked it) -> +0.026; 'Raiders of the Lost Ark (1981)' learned coef=+0.014 (similarity +0.340, you liked it) -> +0.014; 'Jaws (1975)' learned coef=+0.008 (similarity +0.165, you liked it) -> +0.008",not in this model's Top-10,"strongest graph propagation paths: via 'Raiders of the Lost Ark (1981)' (101 length-3 paths, weight 1.33e-04); via 'Strange Days (1995)' (15 length-3 paths, weight 1.30e-04); via 'E.T. the Extra-Terrestrial (1982)' (65 length-3 paths, weight 1.28e-04)"
"Princess Bride, The (1987)",172,3,247,head,"strongest contributing neighbours: neighbour u292 (sim=+0.359, 56 co-ratings) rated it 5 vs their mean 3.10 -> +1.793; neighbour u193 (sim=+0.348, 52 co-ratings) rated it 5 vs their mean 3.00 -> +1.740; neighbour u434 (sim=+0.331, 55 co-ratings) rated it 5 vs their mean 3.33 -> +1.657","most similar movies you already rated: 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.503, 134 co-ratings) -> +0.503; 'Star Wars (1977)' (you rated 4, sim=+0.496, 157 co-ratings) -> +0.496; 'E.T. the Extra-Terrestrial (1982)' (you rated 4, sim=+0.475, 116 co-ratings) -> +0.475",not in this model's Top-10,not in this model's Top-10,"strongest graph propagation paths: via 'Arsenic and Old Lace (1944)' (31 length-3 paths, weight 1.23e-04); via 'Pinocchio (1940)' (26 length-3 paths, weight 1.13e-04); via 'Clockwork Orange, A (1971)' (50 length-3 paths, weight 1.13e-04)"
Monty Python and the Holy Grail (1974),167,3,218,head,"strongest contributing neighbours: neighbour u434 (sim=+0.331, 55 co-ratings) rated it 5 vs their mean 3.33 -> +1.657; neighbour u803 (sim=+0.320, 47 co-ratings) rated it 5 vs their mean 3.67 -> +1.599; neighbour u406 (sim=+0.309, 38 co-ratings) rated it 5 vs their mean 3.52 -> +1.545","most similar movies you already rated: 'Apollo 13 (1995)' (you rated 4, sim=+0.493, 103 co-ratings) -> +0.493; 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.493, 123 co-ratings) -> +0.493; 'Terminator, The (1984)' (you rated 5, sim=+0.492, 103 co-ratings) -> +0.492",not in this model's Top-10,not in this model's Top-10,"strongest graph propagation paths: via 'Sleeper (1973)' (19 length-3 paths, weight 1.23e-04); via 'Terminator, The (1984)' (69 length-3 paths, weight 1.21e-04); via 'Apartment, The (1960)' (15 length-3 paths, weight 1.18e-04)"
Alien (1979),182,3,206,head,"strongest contributing neighbours: neighbour u58 (sim=+0.326, 50 co-ratings) rated it 5 vs their mean 3.95 -> +1.628; neighbour u405 (sim=+0.315, 46 co-ratings) rated it 5 vs their mean 3.52 -> +1.577; neighbour u591 (sim=+0.303, 43 co-ratings) rated it 5 vs their mean 3.83 -> +1.513","most similar movies you already rated: 'Jaws (1975)' (you rated 4, sim=+0.495, 102 co-ratings) -> +0.495; 'Terminator, The (1984)' (you rated 5, sim=+0.470, 102 co-ratings) -> +0.470; 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.468, 117 co-ratings) -> +0.468","strongest learned regression coefficients: 'Terminator, The (1984)' learned coef=+0.009 (similarity +0.236, you liked it) -> +0.009; 'Jaws (1975)' learned coef=+0.008 (similarity +0.204, you liked it) -> +0.008; 'Clockwork Orange, A (1971)' learned coef=+0.007 (similarity +0.190, you liked it) -> +0.007",not in this model's Top-10,not in this model's Top-10
Terminator 2: Judgment Day (1991),95,3,202,head,"strongest contributing neighbours: neighbour u434 (sim=+0.331, 55 co-ratings) rated it 5 vs their mean 3.33 -> +1.657; neighbour u58 (sim=+0.326, 50 co-ratings) rated it 5 vs their mean 3.95 -> +1.628; neighbour u803 (sim=+0.320, 47 co-ratings) rated it 5 vs their mean 3.67 -> +1.599",not in this model's Top-10,"strongest learned regression coefficients: 'Terminator, The (1984)' learned coef=+0.013 (similarity +0.323, you liked it) -> +0.013; 'Raiders of the Lost Ark (1981)' learned coef=+0.008 (similarity +0.240, you liked it) -> +0.008; 'Die Hard (1988)' learned coef=+0.007 (similarity +0.200, you liked it) -> +0.007","strongest learned item-item coefficients from your liked items: 'Terminator, The (1984)' W=0.0758; 'Die Hard (1988)' W=0.0388; 'Craft, The (1996)' W=0.0370",not in this model's Top-10
Twelve Monkeys (1995),6,2,286,head,not in this model's Top-10,not in this model's Top-10,not in this model's Top-10,strongest learned item-item coefficients from your liked items: 'Beavis and Butt-head Do America (1996)' W=0.0663; 'Toy Story (1995)' W=0.0458; 'Rumble in the Bronx (1995)' W=0.0449,"strongest graph propagation paths: via 'Rumble in the Bronx (1995)' (35 length-3 paths, weight 1.75e-04); via 'Swingers (1996)' (31 length-3 paths, weight 1.67e-04); via 'Beavis and Butt-head Do America (1996)' (18 length-3 paths, weight 1.66e-04)"
"Fugitive, The (1993)",78,2,256,head,not in this model's Top-10,"most similar movies you already rated: 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.545, 147 co-ratings) -> +0.545; 'Seven (Se7en) (1995)' (you rated 4, sim=+0.501, 113 co-ratings) -> +0.501; 'Jaws (1975)' (you rated 4, sim=+0.499, 119 co-ratings) -> +0.499",not in this model's Top-10,not in this model's Top-10,"strongest graph propagation paths: via 'Cape Fear (1962)' (19 length-3 paths, weight 1.37e-04); via 'Strange Days (1995)' (17 length-3 paths, weight 1.34e-04); via 'Raiders of the Lost Ark (1981)' (102 length-3 paths, weight 1.32e-04)"
Indiana Jones and the Last Crusade (1989),209,2,232,head,not in this model's Top-10,"most similar movies you already rated: 'Terminator, The (1984)' (you rated 5, sim=+0.513, 114 co-ratings) -> +0.513; 'Raiders of the Lost Ark (1981)' (you rated 4, sim=+0.510, 129 co-ratings) -> +0.510; 'Star Wars (1977)' (you rated 4, sim=+0.481, 149 co-ratings) -> +0.481","strongest learned regression coefficients: 'Raiders of the Lost Ark (1981)' learned coef=+0.010 (similarity +0.305, you liked it) -> +0.010; 'Star Wars (1977)' learned coef=+0.010 (similarity +0.259, you liked it) -> +0.010; 'Apollo 13 (1995)' learned coef=+0.005 (similarity +0.255, you liked it) -> +0.005",not in this model's Top-10,not in this model's Top-10
